haiku,source
"Grey walks, Mossy stones, Copper carp swimming
lazily, And beyond, A faint toneless hissing
echo of rain That tears at my heart.",gutenberg
"The splaying silhouette of horse-chestnut leaves Against
the tall and delicate, patrician-tinged sky Like a princess
in blue robes behind a grille of bronze.",gutenberg
"Dreaming
of both.
",gutenberg
"Here I am, an old man
in a dry month, Being read to
by a boy, waiting for rain.",gutenberg
"I was neither at the hot gates Nor
fought in the warm rain Nor knee deep in the salt marsh,
heaving a cutlass, Bitten by flies, fought.",gutenberg
"My house is a decayed house, And the jew squats on
the window sill, the owner, Spawned in some estaminet of Antwerp,
Blistered in Brussels, patched and peeled in London.",gutenberg
"The goat coughs at night
in the field overhead; Rocks, moss,
stonecrop, iron, merds.",gutenberg
"The woman keeps the kitchen,
makes tea, Sneezes at evening, poking
the peevish gutter.",gutenberg
"I an old
man, A dull head among windy
spaces.",gutenberg
"Signs are taken
for
wonders.",gutenberg
"""We would see a sign"": The
word within a word, unable to speak
a word, Swaddled with darkness.",gutenberg
"In the juvescence of the year Came Christ the tiger In
depraved May, dogwood and chestnut, flowering Judas, To be eaten, to be
divided, to be drunk Among whispers; by Mr.",gutenberg
"Vacant
shuttles
Weave the wind.",gutenberg
"I have no ghosts, An old
man in a draughty house Under
a windy knob.",gutenberg
"After
such knowledge,
what forgiveness?",gutenberg
"Think now History has many cunning
passages, contrived corridors And issues, deceives with
whispering ambitions, Guides us by vanities.",gutenberg
"Think now She gives when our attention is
distracted And what she gives, gives with such supple confusions
That the giving famishes the craving.",gutenberg
"Gives too late What's not believed
in, or if still believed, In memory
only, reconsidered passion.",gutenberg
"Gives too soon Into weak hands, what's
thought can be dispensed with Till the
refusal propagates a fear.",gutenberg
"Think Neither
fear nor courage
saves us.",gutenberg
"Unnatural
vices Are fathered by our
heroism.",gutenberg
"These tears are
shaken from
the wrath-bearing tree.",gutenberg
"The tiger
springs in
the new year.",gutenberg
"Us
he
devours.",gutenberg
"Think at last We have
not reached conclusion, when I
Stiffen in a rented house.",gutenberg
"Think at last I have not made this show
purposelessly And it is not by any
concitation Of the backward devils.",gutenberg
"I would meet
you upon this
honestly.",gutenberg
"I that was near your heart was
removed therefrom To lose beauty in terror,
terror in inquisition.",gutenberg
"I have lost my passion: why
should I need to keep it Since what is kept
must be adulterated?",gutenberg
"I have lost my sight, smell,
hearing, taste and touch: How should I use
it for your closer contact?",gutenberg
"These with a thousand small deliberations Protract the profit
of their chilled delirium, Excite the membrane, when the sense has cooled, With pungent sauces,
multiply variety In a wilderness of mirrors.",gutenberg
"What will the spider do,
Suspend its operations, will
the weevil Delay?",gutenberg
"De Bailhache,
Fresca,
Mrs.",gutenberg
"Cammel, whirled Beyond the
circuit of the shuddering Bear
In fractured atoms.",gutenberg
"Tenants of the house,
Thoughts of a dry brain in
a dry season.",gutenberg
"--so the countess passed on until she
came through the little park, where Niobe presented her
with a cabinet, and so departed.",gutenberg
"Burbank crossed a little bridge
Descending at a small hotel; Princess Volupine
arrived, They were together, and he fell.",gutenberg
"Defunctive music under sea Passed
seaward with the passing bell Slowly: the God
Hercules Had left him, that had loved him well.",gutenberg
"The horses, under the
axletree Beat up the dawn from
Istria With even feet.",gutenberg
"Her shuttered barge
Burned on the water
all the day.",gutenberg
"But this or such was Bleistein's way: A
saggy bending of the knees And elbows, with the palms
turned out, Chicago Semite Viennese.",gutenberg
"The smoky
candle end of time
Declines.",gutenberg
"On the
Rialto
once.",gutenberg
"The rats are
underneath
the piles.",gutenberg
"The jew
is underneath
the lot.",gutenberg
"Money
in furs.
",gutenberg
"Lights, lights, She
entertains Sir
Ferdinand Klein.",gutenberg
"Who clipped the lion's
wings And flea'd his rump and
pared his claws?",gutenberg
"Thought Burbank,
meditating on Time's
ruins, and the seven laws.",gutenberg
"And the trees about me, Let them be dry
and leafless; let the rocks Groan with continual surges;
and behind me Make all a desolation.",gutenberg
"Look,
look,
wenches!",gutenberg
"Paint me a cavernous waste shore Cast in
the unstilted Cyclades, Paint me the bold anfractuous
rocks Faced by the snarled and yelping seas.",gutenberg
"Display me Aeolus above
Reviewing the insurgent gales Which tangle Ariadne's
hair And swell with haste the perjured sails.",gutenberg
"Morning stirs the feet and hands
(Nausicaa and Polypheme), Gesture of orang-outang
Rises from the sheets in steam.",gutenberg
"Sweeney addressed full length to shave
Broadbottomed, pink from nape to base, Knows the female
temperament And wipes the suds around his face.",gutenberg
"(The lengthened shadow of a man Is history,
said Emerson Who had not seen the silhouette
Of Sweeney straddled in the sun).",gutenberg
"Tests the razor
on his leg Waiting until
the shriek subsides.",gutenberg
"The epileptic
on the bed Curves backward, clutching
at her sides.",gutenberg
"The ladies of the corridor Find themselves involved, disgraced, Call
witness to their principles And deprecate the lack of taste Observing that
hysteria Might easily be misunderstood; Mrs.",gutenberg
"Turner intimates
It does the house no
sort of good.",gutenberg
"But Doris, towelled from the bath, Enters
padding on broad feet, Bringing sal volatile
And a glass of brandy neat.",gutenberg
"Pipit sate upright in her chair Some distance
from where I was sitting; Views of the Oxford Colleges
Lay on the table, with the knitting.",gutenberg
"Daguerreotypes and silhouettes,
Her grandfather and great great aunts, Supported on the
mantelpiece An Invitation to the Dance.",gutenberg
"I shall not want Honour in Heaven For
I shall meet Sir Philip Sidney And have talk with
Coriolanus And other heroes of that kidney.",gutenberg
"I shall not want Capital in Heaven For
I shall meet Sir Alfred Mond: We two shall lie together,
lapt In a five per cent Exchequer Bond.",gutenberg
"I shall not want Society in Heaven, Lucretia
Borgia shall be my Bride; Her anecdotes will be more amusing
Than Pipit's experience could provide.",gutenberg
"But where is the penny
world I bought To eat with Pipit
behind the screen?",gutenberg
"The red-eyed scavengers are creeping
From Kentish Town and Golder's Green; Where are
the eagles and the trumpets?",gutenberg
"Buried
beneath some
snow-deep Alps.",gutenberg
"Over buttered scones and
crumpets Weeping, weeping multitudes
Droop in a hundred A.",gutenberg
"'s [""ABC's"" signifes
endemic teashops, found
in all parts of London.",gutenberg
"The initials
signify ""Aerated
Bread Company, Limited.",gutenberg
"IGNATII
AD
TRALLIANOS.",gutenberg
"And when this epistle is read
among you, cause that it be read also in
the church of the Laodiceans.",gutenberg
"The broad-backed hippopotamus Rests on
his belly in the mud; Although he seems so firm
to us He is merely flesh and blood.",gutenberg
"Flesh-and-blood is weak and frail, Susceptible
to nervous shock; While the True Church can never fail For
it is based upon a rock.",gutenberg
"The hippo's feeble steps may err In
compassing material ends, While the True Church need never
stir To gather in its dividends.",gutenberg
"The 'potamus can never reach The
mango on the mango-tree; But fruits of pomegranate and
peach Refresh the Church from over sea.",gutenberg
"At mating time the hippo's voice Betrays
inflexions hoarse and odd, But every week we hear rejoice
The Church, at being one with God.",gutenberg
"The hippopotamus's day Is passed in
sleep; at night he hunts; God works in a mysterious
way- The Church can sleep and feed at once.",gutenberg
"I saw the 'potamus take wing Ascending
from the damp savannas, And quiring angels round him sing
The praise of God, in loud hosannas.",gutenberg
"Blood of the Lamb shall wash him clean And him
shall heavenly arms enfold, Among the saints he shall
be seen Performing on a harp of gold.",gutenberg
"He shall be washed as white as snow, By
all the martyr'd virgins kiss, While the True Church remains below
Wrapt in the old miasmal mist.",gutenberg
""" Mais alors,
tu as ton
vautour!",gutenberg
"Webster was much possessed by death And
saw the skull beneath the skin; And breastless creatures under
ground Leaned backward with a lipless grin.",gutenberg
"Daffodil bulbs
instead of balls Stared from the
sockets of the eyes!",gutenberg
"He knew that thought clings
round dead limbs Tightening its
lusts and luxuries.",gutenberg
"Grishkin is nice: her Russian eye Is
underlined for emphasis; Uncorseted, her friendly
bust Gives promise of pneumatic bliss.",gutenberg
"And even the Abstract Entities
Circumambulate her charm; But our lot crawls between
dry ribs To keep our metaphysics warm.",gutenberg
"Look, look, master,
here comes two religious
caterpillars.",gutenberg
"The
Jew of
Malta.",gutenberg
"Polyphiloprogenitive
The sapient sutlers of the Lord
Drift across the window-panes.",gutenberg
"In the
beginning was
the Word.",gutenberg
"In the
beginning
was the Word.",gutenberg
"A painter of the Umbrian
school Designed upon a gesso ground The nimbus
of the Baptized God.",gutenberg
"The wilderness is cracked and browned But through the
water pale and thin Still shine the unoffending feet And there above
the painter set The Father and the Paraclete.",gutenberg
"Under the penitential gates
Sustained by staring Seraphim Where the souls of the devout
Burn invisible and dim.",gutenberg
"Along the garden-wall the bees With hairy
bellies pass between The staminate and pistilate,
Blest office of the epicene.",gutenberg
"Sweeney shifts from ham
to ham Stirring the water
in his bath.",gutenberg
"The masters of
the subtle schools Are controversial,
polymath.",gutenberg
"[Greek text inserted here] Apeneck Sweeney spreads his knees
Letting his arms hang down to laugh, The zebra stripes along
his jaw Swelling to maculate giraffe.",gutenberg
"Oh, do
not ask, ""What
is it?",gutenberg
""" Let us
go and make our
visit.",gutenberg
"In the room the women
come and go Talking of
Michelangelo.",gutenberg
"In the room the women
come and go Talking of
Michelangelo.",gutenberg
"And indeed there
will be time To wonder,
""Do I dare?",gutenberg
""" Time to turn back and descend the stair,
With a bald spot in the middle of my hair--
(They will say: ""How his hair is growing thin!",gutenberg
""") My morning coat, my collar mounting firmly
to the chin, My necktie rich and modest, but asserted by a simple
pin-- (They will say: ""But how his arms and legs are thin!",gutenberg
""") Do I dare
Disturb the
universe?",gutenberg
"In a minute there is
time For decisions and revisions
which a minute will reverse.",gutenberg
"So how
should I
presume?",gutenberg
"And
how should I
presume?",gutenberg
"And I have known the arms already, known
them all-- Arms that are braceleted and white and bare
(But in the lamplight, downed with light brown hair!",gutenberg
") Is it perfume
from a dress That makes me
so digress?",gutenberg
"Arms that lie along
a table, or wrap
about a shawl.",gutenberg
"And
should I then
presume?",gutenberg
"And how should
I
begin?",gutenberg
"Shall I say, I have gone at dusk through narrow
streets And watched the smoke that rises from the pipes Of lonely
men in shirt-sleeves, leaning out of windows?",gutenberg
"I should have been a pair
of ragged claws Scuttling across
the floors of silent seas.",gutenberg
"And the
afternoon, the evening,
sleeps so peacefully!",gutenberg
"Smoothed by long
fingers,
Asleep.",gutenberg
"or
it
malingers.",gutenberg
"Stretched on the
floor, here beside
you and me.",gutenberg
"Should I, after tea and
cakes and ices, Have the strength to force the
moment to its crisis?",gutenberg
"-- It is impossible
to say just what
I mean!",gutenberg
"
I grow old.
",gutenberg
"I
grow
old.",gutenberg
"I shall wear
the bottoms of my
trousers rolled.",gutenberg
"Shall I
part my
hair behind?",gutenberg
"Do I
dare to eat
a peach?",gutenberg
"I shall wear white flannel
trousers, and walk upon
the beach.",gutenberg
"I have heard
the mermaids singing,
each to each.",gutenberg
"I do
not think that they will sing
to me.",gutenberg
"I have seen them riding seaward on
the waves Combing the white hair of the waves blown back
When the wind blows the water white and black.",gutenberg
"We have lingered in the chambers of
the sea By sea-girls wreathed with seaweed red and brown Till
human voices wake us, and we drown.",gutenberg
"Thou hast committed-- Fornication:
but that was in another country And besides,
the wench is dead.",gutenberg
"The
Jew of
Malta.",gutenberg
"We have been, let us say,
to hear the latest Pole Transmit the Preludes,
through his hair and finger-tips.",gutenberg
"""So intimate, this Chopin, that I think his soul Should
be resurrected only among friends Some two or three, who will not touch the
bloom That is rubbed and questioned in the concert room.",gutenberg
""" --And so the conversation slips Among velleities
and carefully caught regrets Through attenuated tones of
violins Mingled with remote cornets And begins.",gutenberg
"How keen
you
are!",gutenberg
") To find a friend who has these
qualities, Who has, and gives Those
qualities upon which friendship lives.",gutenberg
"How much it means that
I say this to you-- Without
these friendships--life, what cauchemar!",gutenberg
""" --Let us take the air, in a tobacco
trance, Admire the monuments Discuss the late events,
Correct our watches by the public clocks.",gutenberg
"Then sit for half
an hour and
drink our bocks.",gutenberg
"II Now that lilacs are in bloom She
has a bowl of lilacs in her room And twists
one in her fingers while she talks.",gutenberg
""" I smile,
of course, And go on drinking
tea.",gutenberg
"""Yet with these April sunsets, that somehow recall My
buried life, and Paris in the Spring, I feel immeasurably at peace, and
find the world To be wonderful and youthful, after all.",gutenberg
"You are invulnerable,
you have no Achilles'
heel.",gutenberg
"You will go on, and when you
have prevailed You can say: at this point
many a one has failed.",gutenberg
"But what have I, but
what have I, my friend, To give you,
what can you receive from me?",gutenberg
"Only the friendship
and the sympathy Of one about to
reach her journey's end.",gutenberg
"I shall sit
here, serving
tea to friends.",gutenberg
""" I take my hat: how can
I make a cowardly amends
For what she has said to me?",gutenberg
"You will see me any
morning in the park Reading the comics
and the sporting page.",gutenberg
"Particularly I
remark An English countess
goes upon the stage.",gutenberg
"A Greek was murdered
at a Polish dance, Another
bank defaulter has confessed.",gutenberg
"Are these
ideas right
or wrong?",gutenberg
"""And so you are
going abroad; and when
do you return?",gutenberg
"But that's
a useless
question.",gutenberg
"You hardly know when
you are coming back, You will
find so much to learn.",gutenberg
""" My smile falls
heavily among
the bric-à-brac.",gutenberg
"""Perhaps
you can write
to me.",gutenberg
""" My self-possession flares up for
a second; This is as
I had reckoned.",gutenberg
"""I have been wondering
frequently of late (But our beginnings
never know our ends!",gutenberg
") Why we
have not developed into
friends.",gutenberg
""" I feel like one who smiles, and
turning shall remark Suddenly, his
expression in a glass.",gutenberg
"My self-possession gutters;
we are really
in the dark.",gutenberg
"""For everybody said
so, all our friends, They all were sure our
feelings would relate So closely!",gutenberg
"I myself
can hardly
understand.",gutenberg
"We must
leave it now
to fate.",gutenberg
"You will
write, at any
rate.",gutenberg
"Perhaps
it is not
too late.",gutenberg
"I shall
sit here, serving
tea to friends.",gutenberg
""" And I must borrow
every changing shape
To find expression.",gutenberg
"dance, dance Like a dancing
bear, Cry like a parrot, chatter
like an ape.",gutenberg
"Let us take the
air, in a tobacco
trance-- Well!",gutenberg
"Would she not
have the advantage,
after all?",gutenberg
"This music is successful with
a ""dying fall"" Now that we talk of dying--
And should I have the right to smile?",gutenberg
"I The winter evening
settles down With smell of steaks
in passageways.",gutenberg
"The burnt-out
ends of smoky
days.",gutenberg
"And then the
lighting of
the lamps.",gutenberg
"II The morning comes to consciousness
Of faint stale smells of beer From the sawdust-trampled street With all its
muddy feet that press To early coffee-stands.",gutenberg
"With the other masquerades That time
resumes, One thinks of all the hands That are raising
dingy shades In a thousand furnished rooms.",gutenberg
"I am moved by fancies that are curled
Around these images, and cling: The notion of some infinitely
gentle Infinitely suffering thing.",gutenberg
"Wipe your hand across your mouth, and laugh;
The worlds revolve like ancient women
Gathering fuel in vacant lots.",gutenberg
"Half-past one, The street lamp sputtered, The street lamp muttered,
The street lamp said, ""Regard that woman Who hesitates toward you in
the light of the door Which opens on her like a grin.",gutenberg
"You see the border of her dress
Is torn and stained with sand, And you see the corner
of her eye Twists like a crooked pin.",gutenberg
"A broken spring in a factory
yard, Rust that clings to the form that the strength has
left Hard and curled and ready to snap.",gutenberg
"Half-past two, The street-lamp said, ""Remark the cat which
flattens itself in the gutter, Slips out its tongue And
devours a morsel of rancid butter.",gutenberg
""" So the hand of the child,
automatic, Slipped out and pocketed a
toy that was running along the quay.",gutenberg
"I could see
nothing behind that
child's eye.",gutenberg
"Half-past three, The lamp
sputtered, The lamp muttered
in the dark.",gutenberg
"She smooths
the hair of
the grass.",gutenberg
"The moon
has lost her
memory.",gutenberg
"The reminiscence comes Of sunless dry geraniums And
dust in crevices, Smells of chestnuts in the streets And female smells in shuttered rooms
And cigarettes in corridors And cocktail smells in bars.",gutenberg
""" The lamp said, ""Four
o'clock, Here is the number
on the door.",gutenberg
"You have the key, The
little lamp spreads a ring
on the stair, Mount.",gutenberg
"The bed is open; the
tooth-brush hangs on the wall, Put your shoes at the
door, sleep, prepare for life.",gutenberg
""" The last twist
of the
knife.",gutenberg
"They are rattling breakfast plates in basement kitchens,
And along the trampled edges of the street I am aware of the damp
souls of housemaids Sprouting despondently at area gates.",gutenberg
"The readers of the Boston
Evening Transcript Sway in the wind
like a field of ripe corn.",gutenberg
""" Miss Helen Slingsby was my maiden
aunt, And lived in a small house near a fashionable square Cared
for by servants to the number of four.",gutenberg
