,0,1,2,3,4,5,6,7,8,haiku,lang
44,winter drizzle,all the passing faces look,into the cafe,,,,,,,"winter drizzle
all the passing faces look
into the cafe",en
45,smells of spring,adrift in the morning air,bubbles under ice,,,,,,,"smells of spring
adrift in the morning air
bubbles under ice",en
46,Spring morning,your hand on my breast,a bird,,,,,,,"Spring morning
your hand on my breast
a bird",en
47,crossroads,the brown core,of an apple,,,,,,,"crossroads
the brown core
of an apple",en
48,hot afternoon,a flirting couple,in the memorial's shade,,,,,,,"hot afternoon
a flirting couple
in the memorial's shade",en
49,last red in the sky,a small girl's moon face rises,over the counter,,,,,,,"last red in the sky
a small girl's moon face rises
over the counter",en
50,day moon,the woman with silver hair,steps back into the shade,,,,,,,"day moon
the woman with silver hair
steps back into the shade",en
51,morning delivery --,snow comes in,with the FedEx man,,,,,,,"morning delivery --
snow comes in
with the FedEx man",en
52,Easter--,an anxious mother calls,in the wind,,,,,,,"Easter--
an anxious mother calls
in the wind",en
53,lumière du bureau,une courte ombre,autour de la pomme,,,,,,,"lumière du bureau
une courte ombre
autour de la pomme",fr
54,premiers crocus fanés,de plus en plus varié,le chant des oiseaux,,,,,,,"premiers crocus fanés
de plus en plus varié
le chant des oiseaux",fr
55,windless day,the prolific weeds,at the grave site,,,,,,,"windless day
the prolific weeds
at the grave site",en
56,nel crepuscolo,voli di cormorani,e sciacquio d'onde,,,,,,,"nel crepuscolo
voli di cormorani
e sciacquio d'onde",it
57,Spring day,cool and grey,cup of tea,,,,,,,"Spring day
cool and grey
cup of tea",en
58,Grey today,the waves rush,memories,,,,,,,"Grey today
the waves rush
memories",en
59,en mode vibreur,le téléphone avance,vers la poubelle,,,,,,,"en mode vibreur
le téléphone avance
vers la poubelle",fr
60,paon de Maguelone,ses plumes bleu outremer,entre mer et ciel,,,,,,,"paon de Maguelone
ses plumes bleu outremer
entre mer et ciel",fr
61,équinoxe de mars,la lune au-dessus du toit,est coupée en deux,,,,,,,"équinoxe de mars
la lune au-dessus du toit
est coupée en deux",fr
62,"le prunus, tout rose     face à l'échoppe du fleuriste    fermée le lundi!",,,,,,,,,"le prunus, tout rose     face à l'échoppe du fleuriste    fermée le lundi!",fr
63,Spring equinox,Pray the ancestor grave,In cold rain,,,,,,,"Spring equinox
Pray the ancestor grave
In cold rain",en
64,folding chair,the newborn colt tries,to stand,,,,,,,"folding chair
the newborn colt tries
to stand",en
65,scattered sun --,one chickadee,louder than the rest,,,,,,,"scattered sun --
one chickadee
louder than the rest",en
66,orthopaedic clinic,a three-legged chair,outside the entrance,,,,,,,"orthopaedic clinic
a three-legged chair
outside the entrance",en
67,the plane's landing lights,a wave of barking,sweeps the neighbourhood,,,,,,,"the plane's landing lights
a wave of barking
sweeps the neighbourhood",en
68,lilas roux,derrière la grille rouillée,le chant d'enfant,,,,,,,"lilas roux
derrière la grille rouillée
le chant d'enfant",fr
69,the way grass parts,as the pheasant passes,spring's end,,,,,,,"the way grass parts
as the pheasant passes
spring's end",en
70,at half-mast,a butterfly passes by,the still flag,,,,,,,"at half-mast
a butterfly passes by
the still flag",en
71,half asleep -,the rhythm of the,receding rain,,,,,,,"half asleep -
the rhythm of the
receding rain",en
72,evening service --,light beams,into the night,,,,,,,"evening service --
light beams
into the night",en
73,ooame ya,tobimawaru wa,shiroki cho,,,,,,,"ooame ya
tobimawaru wa
shiroki cho",sw
74,watching summer clouds,thoughts shaping and,reshaping,,,,,,,"watching summer clouds
thoughts shaping and
reshaping",en
75,geese honking---,children in the,bathtub playing,,,,,,,"geese honking---
children in the
bathtub playing",en
76,Des pyjamas noirs,ébouriffés par le vent.,Envol des corbeaux.,,,,,,,"Des pyjamas noirs
ébouriffés par le vent.
Envol des corbeaux.",fr
77,rabbit trail,nothing but ears,above the snow,,,,,,,"rabbit trail
nothing but ears
above the snow",en
78,late night at the office,an exit sign floats,next to the moon,,,,,,,"late night at the office
an exit sign floats
next to the moon",en
79,celtic harp,the first raindrops touch,my cheeks,,,,,,,"celtic harp
the first raindrops touch
my cheeks",en
80,traffic jam,three saffron-robed men munch nuts,in their SUV,,,,,,,"traffic jam
three saffron-robed men munch nuts
in their SUV",en
81,Valentine's Day,a forsythia,without birds,,,,,,,"Valentine's Day
a forsythia
without birds",en
82,early spring air,all day long,our beds not made,,,,,,,"early spring air
all day long
our beds not made",en
83,husband away,washing his socks,by hand,,,,,,,"husband away
washing his socks
by hand",en
84,her fresh flowers -,his fresh grave,valentine's day,,,,,,,"her fresh flowers -
his fresh grave
valentine's day",en
85,valentines -,the mailman's steps,break the ice,,,,,,,"valentines -
the mailman's steps
break the ice",en
86,only two pinecones,on the park bench ~,Valentine's day,,,,,,,"only two pinecones
on the park bench ~
Valentine's day",en
87,lit défait,un sourire sur le bord,de la flûte vide,,,,,,,"lit défait
un sourire sur le bord
de la flûte vide",fr
88,"lakeside,",below the egret---,a city of lights,,,,,,,"lakeside,
below the egret---
a city of lights",en
89,hedgerow birds,three boys share a spliff,by the school gate,,,,,,,"hedgerow birds
three boys share a spliff
by the school gate",en
90,after the rain,moon and stars,underfoot,,,,,,,"after the rain
moon and stars
underfoot",en
91,dwindling bonfire,a shooting star,near Orion,,,,,,,"dwindling bonfire
a shooting star
near Orion",en
92,cold night-,a plane blinks through,Orion's bow,,,,,,,"cold night-
a plane blinks through
Orion's bow",en
93,dark tree silhouettes,low on the horizon,Orion rises,,,,,,,"dark tree silhouettes
low on the horizon
Orion rises",en
94,Science day,the programme begins,with rituals,,,,,,,"Science day
the programme begins
with rituals",en
95,traffic argument,the camel's sneer,is impartial,,,,,,,"traffic argument
the camel's sneer
is impartial",en
96,jour vide et lent,après l'avoir mis dehors -,étoile filante,,,,,,,"jour vide et lent
après l'avoir mis dehors -
étoile filante",fr
97,winter stars,suddenly a whiff,of perfume,,,,,,,"winter stars
suddenly a whiff
of perfume",en
98, trains come and go,but the same people,drinks at bar,,,,,,," trains come and go
but the same people
drinks at bar",en
99,first raindrops,the freight train I passed,two states ago,,,,,,,"first raindrops
the freight train I passed
two states ago",en
100,silhouette. . .,  a shining snow path to,     a pale moon,,,,,,,"silhouette. . .
  a shining snow path to
     a pale moon",en
101,thousands of miles,"away, her first birthday---",fresh mango,,,,,,,"thousands of miles
away, her first birthday---
fresh mango",en
102,swimming across,the moonlit sky---,a gray carp,,,,,,,"swimming across
the moonlit sky---
a gray carp",en
103,half moon,darkness drinking from an,alabaster teacup,,,,,,,"half moon
darkness drinking from an
alabaster teacup",en
104,floating,down river,an egret's shadow,,,,,,,"floating
down river
an egret's shadow",en
105,a McDo box,floats towards the fountain,insect on board,,,,,,,"a McDo box
floats towards the fountain
insect on board",en
106,Jouseki ni Jizo nokorite Yuki no koe,,,,,,,,,Jouseki ni Jizo nokorite Yuki no koe,hr
107,Futo ni Furansu to kaku Yuki moyohi,,,,,,,,,Futo ni Furansu to kaku Yuki moyohi,sw
108,new year...,a magpie turns over,an old leaf,,,,,,,"new year...
a magpie turns over
an old leaf",en
109,new year,fireworks,in a misty sky,,,,,,,"new year
fireworks
in a misty sky",en
110,silence,the moon breaks through,the firework smoke,,,,,,,"silence
the moon breaks through
the firework smoke",en
111,nuit de dégel -,le bonhomme de neige,est parti sans sa pipe,,,,,,,"nuit de dégel -
le bonhomme de neige
est parti sans sa pipe",fr
112,Calligraphes au temple -,prières pour les blaireaux,donneurs de poils,,,,,,,"Calligraphes au temple -
prières pour les blaireaux
donneurs de poils",fr
113,Premier ciel dégagé -,entre Orion et sa chienne,un avion gronde.,,,,,,,"Premier ciel dégagé -
entre Orion et sa chienne
un avion gronde.",fr
114,spring mist,the tree I take shelter under,planted in remembrance,,,,,,,"spring mist
the tree I take shelter under
planted in remembrance",en
115,lingering cold...,the last jar of maple syrup,on the cupboard shelf,,,,,,,"lingering cold...
the last jar of maple syrup
on the cupboard shelf",en
116,"oh moon, moon",above so much powdery snow,father is still ill,,,,,,,"oh moon, moon
above so much powdery snow
father is still ill",en
117, jour d'été,deux ânes suivent leur ombre,sur la route,,,,,,," jour d'été
deux ânes suivent leur ombre
sur la route",fr
118,vent de sable,les dunes disparaissent,une odeur de thé,,,,,,,"vent de sable
les dunes disparaissent
une odeur de thé",fr
119,Tourbillons de neige,des fleurs blanches,dans le magnolia,,,,,,,"Tourbillons de neige
des fleurs blanches
dans le magnolia",fr
120,tempête en mer,hurlements de haubans,cartes sur la table,,,,,,,"tempête en mer
hurlements de haubans
cartes sur la table",fr
121,deepening snow--,she leaves our atlas open,to her homeland,,,,,,,"deepening snow--
she leaves our atlas open
to her homeland",en
122,familiar names-,the warmth of a woodstove,in January,,,,,,,"familiar names-
the warmth of a woodstove
in January",en
123,eddying leaves,the old woman's wrinkled face,and saree,,,,,,,"eddying leaves
the old woman's wrinkled face
and saree",en
124,morning mist,the iora is gone,before I recall its name,,,,,,,"morning mist
the iora is gone
before I recall its name",en
125,drifting fog,the house across the road,reappears,,,,,,,"drifting fog
the house across the road
reappears",en
126,le dégel,dans une fenêtre étroite,la demi-lune,,,,,,,"le dégel
dans une fenêtre étroite
la demi-lune",fr
127,...vos haikus estivals,une note des poires et des myrtilles,dans le thé,,,,,,,"...vos haikus estivals
une note des poires et des myrtilles
dans le thé",fr
128,la neige tombe,un peu inclinée,la lune,,,,,,,"la neige tombe
un peu inclinée
la lune",fr
129,soleil d'hiver,le plat de ma main,sur la vitre froide,,,,,,,"soleil d'hiver
le plat de ma main
sur la vitre froide",fr
130,kirinoyoni amaikaorino shirokiume,,,,,,,,,kirinoyoni amaikaorino shirokiume,sw
131,"Sur l'écran éteint,",toute ma bibliothèque,au soleil!,,,,,,,"Sur l'écran éteint,
toute ma bibliothèque
au soleil!",fr
132,fading,right before my eyes,morning moon,,,,,,,"fading
right before my eyes
morning moon",en
133,morning glories,find their way to the sun,on barbed wire,,,,,,,"morning glories
find their way to the sun
on barbed wire",en
134,summer rain,the smell of earth,in the air,,,,,,,"summer rain
the smell of earth
in the air",en
135,early spring,everything,dripping,,,,,,,"early spring
everything
dripping",en
136,more rain -,mildew colors,the old roof,,,,,,,"more rain -
mildew colors
the old roof",en
137,mountain storm,somewhere during its echo,the thunder ends,,,,,,,"mountain storm
somewhere during its echo
the thunder ends",en
138,even my pee,stays inside this,cold winter night,,,,,,,"even my pee
stays inside this
cold winter night",en
139,snowfall---,a milk mustache,on my daughter's face,,,,,,,"snowfall---
a milk mustache
on my daughter's face",en
140, drowned,in the sound of the rain,other familiar sounds,,,,,,," drowned
in the sound of the rain
other familiar sounds",en
141,lentement,le scarabée avance,tempête de juin,,,,,,,"lentement
le scarabée avance
tempête de juin",fr
142,sun dog--,so many names,carved on the cliff ,,,,,,,"sun dog--
so many names
carved on the cliff ",en
143,"Fly,",be afraid!,No Buddhists in this house!,,,,,,,"Fly,
be afraid!
No Buddhists in this house!",en
144,pendant l'arrosage   les pages de mon livre   au vent de juillet,,,,,,,,,pendant l'arrosage   les pages de mon livre   au vent de juillet,fr
145,sundown,summer evening melts in dark,fragrance of tea~,,,,,,,"sundown
summer evening melts in dark
fragrance of tea~",en
146,before dinner...,the spider and a fly,share the sunset,,,,,,,"before dinner...
the spider and a fly
share the sunset",en
147,he kissed me,on the fourth of july,fireworks!,,,,,,,"he kissed me
on the fourth of july
fireworks!",en
148,working late,the sound of a small brown moth,in the lampshade,,,,,,,"working late
the sound of a small brown moth
in the lampshade",en
149,in the yard,between our argument -,a red dragonfly,,,,,,,"in the yard
between our argument -
a red dragonfly",en
150,free floating,a tide full of shell fragments,and fireworks ,,,,,,,"free floating
a tide full of shell fragments
and fireworks ",en
151,late summer rain --,two kids break the bottles,under the bridge,,,,,,,"late summer rain --
two kids break the bottles
under the bridge",en
152,morning fog,the bluebird's call,clearly audible,,,,,,,"morning fog
the bluebird's call
clearly audible",en
153,nuit orageuse -,le bourdonnement,d'une moissonneuse,,,,,,,"nuit orageuse -
le bourdonnement
d'une moissonneuse",fr
154,nuit de pleine lune -,un moustique sur l'écran,de l'ordinateur,,,,,,,"nuit de pleine lune -
un moustique sur l'écran
de l'ordinateur",fr
155,rain,the sound of a horse galloping,through leaves,,,,,,,"rain
the sound of a horse galloping
through leaves",en
156,père et fils dans l'eau,la jeune mère voilée,dans l'ombre,,,,,,,"père et fils dans l'eau
la jeune mère voilée
dans l'ombre",fr
157, too hot to sleep,i search for my son's footprint,in the front drive,,,,,,," too hot to sleep
i search for my son's footprint
in the front drive",en
158,the boat crests a wave -,tracing my finger around,an ancient stone,,,,,,,"the boat crests a wave -
tracing my finger around
an ancient stone",en
159,a mosquito,aiming noisily <>,the sound of one hand,,,,,,,"a mosquito
aiming noisily <>
the sound of one hand",en
160,zébrures dans l'espace,le store se coule dans la rue,par une fenêtre,,,,,,,"zébrures dans l'espace
le store se coule dans la rue
par une fenêtre",fr
161,novocain prick--,the warmth where,the dental nurse leans,,,,,,,"novocain prick--
the warmth where
the dental nurse leans",en
162,the smell,of many campfires,in this old hunting shirt,,,,,,,"the smell
of many campfires
in this old hunting shirt",en
163,sculpting,"clay, the potter",at dawn,,,,,,,"sculpting
clay, the potter
at dawn",en
164,master wind,sweeping the temple,zealously,,,,,,,"master wind
sweeping the temple
zealously",en
165,house cleaning---,the forest fire,at dawn,,,,,,,"house cleaning---
the forest fire
at dawn",en
166,metal birds,fly south to the,forest fire,,,,,,,"metal birds
fly south to the
forest fire",en
167,thunderstorm --,a shadow pauses,at the gate,,,,,,,"thunderstorm --
a shadow pauses
at the gate",en
168,ticket de métro -,juste assez de place,pour un haïku,,,,,,,"ticket de métro -
juste assez de place
pour un haïku",fr
169,crickets' songs,in the pitch-dark night --,how many secrets,,,,,,,"crickets' songs
in the pitch-dark night --
how many secrets",en
170,earthquake,with the typhoon -- more coins,at the temple,,,,,,,"earthquake
with the typhoon -- more coins
at the temple",en
171,food channel,between commercials,dinner burns,,,,,,,"food channel
between commercials
dinner burns",en
172,fading this,autumn night---,the heron's legs,,,,,,,"fading this
autumn night---
the heron's legs",en
173,we sip sweet tea,in silence. . .,a soldier's mother,,,,,,,"we sip sweet tea
in silence. . .
a soldier's mother",en
174,autumn visit -,over war news we talk,of babies . . .,,,,,,,"autumn visit -
over war news we talk
of babies . . .",af
175,fireside -,a son's face smiles down,from the mantelpiece,,,,,,,"fireside -
a son's face smiles down
from the mantelpiece",en
176,remembering summer,how brittle the leaves,underfoot,,,,,,,"remembering summer
how brittle the leaves
underfoot",en
177,Les moustiques,dans ma nouvelle maison,ne m'ont pas suivi,,,,,,,"Les moustiques
dans ma nouvelle maison
ne m'ont pas suivi",fr
178,Orage d'été,le petit linge de ma voisine,bien accroché,,,,,,,"Orage d'été
le petit linge de ma voisine
bien accroché",fr
179,deep in the night,my computer turned off --,sound of autumn rain,,,,,,,"deep in the night
my computer turned off --
sound of autumn rain",en
180, chemin de l'école,deux vaches portent avec leurs cornes,le soleil,,,,,,," chemin de l'école
deux vaches portent avec leurs cornes
le soleil",fr
181,no more war,two fighting beetles,on a tombstone,,,,,,,"no more war
two fighting beetles
on a tombstone",en
182,near the wall,of the cemetery,a condom,,,,,,,"near the wall
of the cemetery
a condom",en
183,during the vigil,a withered flower,on the tiled floor,,,,,,,"during the vigil
a withered flower
on the tiled floor",en
184,no moon--,the individual,songs of crickets,,,,,,,"no moon--
the individual
songs of crickets",en
185,mur du cimetière,la vigne vierge déborde,rouge en octobre,,,,,,,"mur du cimetière
la vigne vierge déborde
rouge en octobre",fr
186,the smell of water between the iron pump and cup,,,,,,,,,the smell of water between the iron pump and cup,en
187,indian summer-,rouging her cheeks,as she waits for a drink,,,,,,,"indian summer-
rouging her cheeks
as she waits for a drink",en
188,vents et pluie,entre les montagnes,le dos d'une baleine,,,,,,,"vents et pluie
entre les montagnes
le dos d'une baleine",fr
189,pour le goéland,déjeuner de moucherons,sur dos de baleine,,,,,,,"pour le goéland
déjeuner de moucherons
sur dos de baleine",fr
190,egrets,plucking shadows,at dusk,,,,,,,"egrets
plucking shadows
at dusk",en
191,sugar for the tea,behind the bowl,a line of ants,,,,,,,"sugar for the tea
behind the bowl
a line of ants",en
192,fire ant mound,against the flower pot,after the rain,,,,,,,"fire ant mound
against the flower pot
after the rain",en
193,forgetting my words,step by step,the autumn night deepens,,,,,,,"forgetting my words
step by step
the autumn night deepens",en
194,parc désert,tapis de feuilles jaunes,qu'un chat roux foule,,,,,,,"parc désert
tapis de feuilles jaunes
qu'un chat roux foule",fr
195,loud pub music,a long silence,between the flirting couple,,,,,,,"loud pub music
a long silence
between the flirting couple",en
196,la nuit qui fraîchit,le buste de l'astronome,manteau sur le dos,,,,,,,"la nuit qui fraîchit
le buste de l'astronome
manteau sur le dos",fr
197,autumn bonfire –,all my summer dreams,scatter with the smoke,,,,,,,"autumn bonfire –
all my summer dreams
scatter with the smoke",en
198,fading light -,a red leaf bouquet,at the smallest grave,,,,,,,"fading light -
a red leaf bouquet
at the smallest grave",en
199,"out of the city,",so many stars,unnamed,,,,,,,"out of the city,
so many stars
unnamed",en
200,marbres éblouissants,grincements des robinets,temps de la Toussaint,,,,,,,"marbres éblouissants
grincements des robinets
temps de la Toussaint",fr
201,solo trip,in the campfire smoke,old memories,,,,,,,"solo trip
in the campfire smoke
old memories",en
202,les feuilles rouges,les premières à tomber,un porto ce soir,,,,,,,"les feuilles rouges
les premières à tomber
un porto ce soir",fr
203,one hundred views,of the sunrise -,appartment block,,,,,,,"one hundred views
of the sunrise -
appartment block",en
204,doves,on the TV antenna,war on TV,,,,,,,"doves
on the TV antenna
war on TV",en
205,the red maple-,striptease,in the driveway,,,,,,,"the red maple-
striptease
in the driveway",en
206,Le cliquetis du sécateur,dans les branches de l'oranger-,la météo annonce du froid,,,,,,,"Le cliquetis du sécateur
dans les branches de l'oranger-
la météo annonce du froid",fr
207,pumpkin moon:,tai chi movements time,the eclipse photos,,,,,,,"pumpkin moon:
tai chi movements time
the eclipse photos",en
208,frost,on the pumpkin:,lunar eclipse,,,,,,,"frost
on the pumpkin:
lunar eclipse",en
209,All Saints Day -,in the field only small,pumpkins are left,,,,,,,"All Saints Day -
in the field only small
pumpkins are left",en
210,all hallows eve---,stars paint the,cemetery ground,,,,,,,"all hallows eve---
stars paint the
cemetery ground",en
211,all saints day---,spent candles,in the cemetery,,,,,,,"all saints day---
spent candles
in the cemetery",en
212,dark clouds---,a student drawing,with charcoal,,,,,,,"dark clouds---
a student drawing
with charcoal",en
213,sur le carrelage blanc,elle semble encore plus grosse,l'araignée du radiateur,,,,,,,"sur le carrelage blanc
elle semble encore plus grosse
l'araignée du radiateur",fr
214,l'écorce du pommier,rongée un peu plus haut,cette année,,,,,,,"l'écorce du pommier
rongée un peu plus haut
cette année",fr
215,Brûlerie,l'odeur du café,un chien qui renifle,,,,,,,"Brûlerie
l'odeur du café
un chien qui renifle",fr
216,Best Of Mac Donald,deux limaçons roux,sur une frite,,,,,,,"Best Of Mac Donald
deux limaçons roux
sur une frite",fr
217,le faîte de l'arbre,chatouille le nez,du grand Bouddha,,,,,,,"le faîte de l'arbre
chatouille le nez
du grand Bouddha",fr
218,dehors passe un train,"de wagons jaunes, dans le bar",soudain tout s'éclaire.,,,,,,,"dehors passe un train
de wagons jaunes, dans le bar
soudain tout s'éclaire.",fr
219,chemises à repasser,"montagne de coton, soupir",bruit de vapeur,,,,,,,"chemises à repasser
montagne de coton, soupir
bruit de vapeur",fr
220,typhoon passed--,one watering can,in the sandbox,,,,,,,"typhoon passed--
one watering can
in the sandbox",en
221,typhoon passed--,comes the,local circus,,,,,,,"typhoon passed--
comes the
local circus",en
222,red dragonflies,gather around the,blind person,,,,,,,"red dragonflies
gather around the
blind person",en
223,letter from overseas,a call from southward geese,penetrates the thicket,,,,,,,"letter from overseas
a call from southward geese
penetrates the thicket",en
224,indian summer,the neighbor's daughter sunbathes,beside their empty pool,,,,,,,"indian summer
the neighbor's daughter sunbathes
beside their empty pool",en
225,scent of roses --,counting the stars,one by one,,,,,,,"scent of roses --
counting the stars
one by one",en
226,eating rice---,how many stars are,in the sky ?,,,,,,,"eating rice---
how many stars are
in the sky ?",en
227,falling leaves---,a trail of clothing,leads to the bed,,,,,,,"falling leaves---
a trail of clothing
leads to the bed",en
228,"biting his nails,",a little boy watches,the outgoing tide,,,,,,,"biting his nails,
a little boy watches
the outgoing tide",en
229,cold night---,my reflection,sipping coffee,,,,,,,"cold night---
my reflection
sipping coffee",en
230,November moon,the last ball of cheese,in the fridge,,,,,,,"November moon
the last ball of cheese
in the fridge",en
231,pleine lune sans nuages,cinq doigts tambourinent,sur-une-chute-de-reins,,,,,,,"pleine lune sans nuages
cinq doigts tambourinent
sur-une-chute-de-reins",fr
232,the Thanksgiving meal -,after eating the talk,slows down,,,,,,,"the Thanksgiving meal -
after eating the talk
slows down",en
233,around where the,steppingstone ends off,autumn gone,,,,,,,"around where the
steppingstone ends off
autumn gone",en
234,dawn --,the maple's colors,spread through the fog,,,,,,,"dawn --
the maple's colors
spread through the fog",en
235,geriatric ward--,the table groans,when they fold it up,,,,,,,"geriatric ward--
the table groans
when they fold it up",en
236,rouge sang,dans les mâchoires de la benne,le dahlia,,,,,,,"rouge sang
dans les mâchoires de la benne
le dahlia",fr
237,sous l'épervier,faisant le Saint Esprit :,un tas de fumier,,,,,,,"sous l'épervier
faisant le Saint Esprit :
un tas de fumier",fr
238,watching,the lunar eclipse,a dead rose,,,,,,,"watching
the lunar eclipse
a dead rose",en
239,moon viewing---,just me and spider,tonight,,,,,,,"moon viewing---
just me and spider
tonight",af
240,moon viewing---,warming my hands,with a cup of coffee,,,,,,,"moon viewing---
warming my hands
with a cup of coffee",en
241,Halloween night,ghosts and goblins,watch the rain,,,,,,,"Halloween night
ghosts and goblins
watch the rain",en
242,burning leaves --,Kerry concedes,the election,,,,,,,"burning leaves --
Kerry concedes
the election",en
243,downpour -,the pumpkin's smile,goes out,,,,,,,"downpour -
the pumpkin's smile
goes out",en
244,indian summer,the viagra stock,deflates,,,,,,,"indian summer
the viagra stock
deflates",en
245,chemin à l'aube,l'ouvrage des araignées,sur mon front,,,,,,,"chemin à l'aube
l'ouvrage des araignées
sur mon front",fr
246,Un escargot,dans l'oeil droit de la citrouille-,lendemain d'Halloween,,,,,,,"Un escargot
dans l'oeil droit de la citrouille-
lendemain d'Halloween",fr
247,Sur le fil à linge,un oiseau en équilibre-,quelque part à Fallouja,,,,,,,"Sur le fil à linge
un oiseau en équilibre-
quelque part à Fallouja",fr
248,an old temple,amongst cedar trees,too many leaves fallen...,,,,,,,"an old temple
amongst cedar trees
too many leaves fallen...",en
249,from an old temple,to an old temple,autumn wind,,,,,,,"from an old temple
to an old temple
autumn wind",en
250,hundreds of,gentians blooming--,class reunion,,,,,,,"hundreds of
gentians blooming--
class reunion",en
251,a new day --,the priest's robes,fill with snow,,,,,,,"a new day --
the priest's robes
fill with snow",en
