0,1,2,source,0_syllables,1_syllables,2_syllables
day moon,the woman with silver hair,steps back into the shade,tempslibres,2,7,6
morning delivery --,snow comes in,with the FedEx man,tempslibres,6,3,5
Easter--,an anxious mother calls,in the wind,tempslibres,2,6,3
windless day,the prolific weeds,at the grave site,tempslibres,3,5,4
Spring day,cool and grey,cup of tea,tempslibres,"2,3",3,3
Grey today,the waves rush,memories,tempslibres,3,3,3
Spring equinox,Pray the ancestor grave,In cold rain,tempslibres,"4,5",6,3
folding chair,the newborn colt tries,to stand,tempslibres,3,5,2
scattered sun --,one chickadee,louder than the rest,tempslibres,3,4,5
orthopaedic clinic,a three-legged chair,outside the entrance,tempslibres,6,3,5
the plane's landing lights,a wave of barking,sweeps the neighbourhood,tempslibres,5,5,5
the way grass parts,as the pheasant passes,spring's end,tempslibres,4,6,2
at half-mast,a butterfly passes by,the still flag,tempslibres,2,7,3
half asleep -,the rhythm of the,receding rain,tempslibres,3,5,4
evening service --,light beams,into the night,tempslibres,4,2,4
watching summer clouds,thoughts shaping and,reshaping,tempslibres,5,4,3
geese honking---,children in the,bathtub playing,tempslibres,3,4,4
rabbit trail,nothing but ears,above the snow,tempslibres,3,4,4
late night at the office,an exit sign floats,next to the moon,tempslibres,6,5,4
celtic harp,the first raindrops touch,my cheeks,tempslibres,3,5,2
traffic jam,three saffron-robed men munch nuts,in their SUV,tempslibres,3,6,5
Valentine's Day,a forsythia,without birds,tempslibres,4,5,3
early spring air,all day long,our beds not made,tempslibres,"4,5",3,"4,5"
husband away,washing his socks,by hand,tempslibres,4,4,2
her fresh flowers -,his fresh grave,valentine's day,tempslibres,4,3,4
valentines -,the mailman's steps,break the ice,tempslibres,3,4,3
only two pinecones,on the park bench ~,Valentine's day,tempslibres,5,4,4
"lakeside,",below the egret---,a city of lights,tempslibres,2,5,5
hedgerow birds,three boys share a spliff,by the school gate,tempslibres,3,5,4
after the rain,moon and stars,underfoot,tempslibres,4,3,3
dwindling bonfire,a shooting star,near Orion,tempslibres,"5,6",4,4
cold night-,a plane blinks through,Orion's bow,tempslibres,2,4,4
dark tree silhouettes,low on the horizon,Orion rises,tempslibres,5,6,5
Science day,the programme begins,with rituals,tempslibres,3,5,4
traffic argument,the camel's sneer,is impartial,tempslibres,5,4,4
winter stars,suddenly a whiff,of perfume,tempslibres,3,5,3
 trains come and go,but the same people,drinks at bar,tempslibres,4,5,3
first raindrops,the freight train I passed,two states ago,tempslibres,3,5,4
silhouette. . .,  a shining snow path to,     a pale moon,tempslibres,3,6,3
thousands of miles,"away, her first birthday---",fresh mango,tempslibres,"4,5",6,3
swimming across,the moonlit sky---,a gray carp,tempslibres,4,4,3
half moon,darkness drinking from an,alabaster teacup,tempslibres,2,6,6
floating,down river,an egret's shadow,tempslibres,2,3,5
a McDo box,floats towards the fountain,insect on board,tempslibres,3,"5,6",4
new year...,a magpie turns over,an old leaf,tempslibres,2,6,3
new year,fireworks,in a misty sky,tempslibres,2,2,5
silence,the moon breaks through,the firework smoke,tempslibres,2,4,4
spring mist,the tree I take shelter under,planted in remembrance,tempslibres,"2,3",8,6
lingering cold...,the last jar of maple syrup,on the cupboard shelf,tempslibres,"3,4",8,5
"oh moon, moon",above so much powdery snow,father is still ill,tempslibres,3,8,5
deepening snow--,she leaves our atlas open,to her homeland,tempslibres,"3,4","8,7",4
familiar names-,the warmth of a woodstove,in January,tempslibres,4,6,5
eddying leaves,the old woman's wrinkled face,and saree,tempslibres,4,7,4
morning mist,the iora is gone,before I recall its name,tempslibres,3,6,7
drifting fog,the house across the road,reappears,tempslibres,3,6,3
fading,right before my eyes,morning moon,tempslibres,2,5,3
morning glories,find their way to the sun,on barbed wire,tempslibres,4,6,"3,4"
summer rain,the smell of earth,in the air,tempslibres,3,4,3
early spring,everything,dripping,tempslibres,"3,4",3,2
more rain -,mildew colors,the old roof,tempslibres,2,4,3
mountain storm,somewhere during its echo,the thunder ends,tempslibres,3,7,4
even my pee,stays inside this,cold winter night,tempslibres,4,4,4
snowfall---,a milk mustache,on my daughter's face,tempslibres,2,4,5
 drowned,in the sound of the rain,other familiar sounds,tempslibres,1,6,6
sun dog--,so many names,carved on the cliff ,tempslibres,2,4,4
"Fly,",be afraid!,No Buddhists in this house!,tempslibres,1,3,6
sundown,summer evening melts in dark,fragrance of tea~,tempslibres,2,7,4
before dinner...,the spider and a fly,share the sunset,tempslibres,4,6,4
he kissed me,on the fourth of july,fireworks!,tempslibres,3,6,2
working late,the sound of a small brown moth,in the lampshade,tempslibres,3,7,4
in the yard,between our argument -,a red dragonfly,tempslibres,3,"6,7",5
free floating,a tide full of shell fragments,and fireworks ,tempslibres,3,7,3
late summer rain --,two kids break the bottles,under the bridge,tempslibres,4,6,4
morning fog,the bluebird's call,clearly audible,tempslibres,3,4,5
rain,the sound of a horse galloping,through leaves,tempslibres,1,8,2
 too hot to sleep,i search for my son's footprint,in the front drive,tempslibres,4,7,4
the boat crests a wave -,tracing my finger around,an ancient stone,tempslibres,5,7,4
a mosquito,aiming noisily <>,the sound of one hand,tempslibres,4,5,5
novocain prick--,the warmth where,the dental nurse leans,tempslibres,4,3,5
the smell,of many campfires,in this old hunting shirt,tempslibres,2,6,6
sculpting,"clay, the potter",at dawn,tempslibres,2,4,2
master wind,sweeping the temple,zealously,tempslibres,3,5,3
house cleaning---,the forest fire,at dawn,tempslibres,3,"4,5",2
metal birds,fly south to the,forest fire,tempslibres,3,4,"3,4"
thunderstorm --,a shadow pauses,at the gate,tempslibres,3,5,3
crickets' songs,in the pitch-dark night --,how many secrets,tempslibres,3,4,5
earthquake,with the typhoon -- more coins,at the temple,tempslibres,2,6,4
food channel,between commercials,dinner burns,tempslibres,3,5,3
fading this,autumn night---,the heron's legs,tempslibres,3,3,4
we sip sweet tea,in silence. . .,a soldier's mother,tempslibres,4,3,5
fireside -,a son's face smiles down,from the mantelpiece,tempslibres,3,5,5
remembering summer,how brittle the leaves,underfoot,tempslibres,"5,6",5,3
deep in the night,my computer turned off --,sound of autumn rain,tempslibres,4,6,5
no more war,two fighting beetles,on a tombstone,tempslibres,3,5,4
near the wall,of the cemetery,a condom,tempslibres,3,6,3
during the vigil,a withered flower,on the tiled floor,tempslibres,5,5,4
no moon--,the individual,songs of crickets,tempslibres,2,6,4
indian summer-,rouging her cheeks,as she waits for a drink,tempslibres,5,4,6
egrets,plucking shadows,at dusk,tempslibres,2,4,2
sugar for the tea,behind the bowl,a line of ants,tempslibres,5,4,4
fire ant mound,against the flower pot,after the rain,tempslibres,"3,4",6,4
forgetting my words,step by step,the autumn night deepens,tempslibres,5,3,6
loud pub music,a long silence,between the flirting couple,tempslibres,4,4,7
autumn bonfire ,all my summer dreams,scatter with the smoke,tempslibres,5,5,5
fading light -,a red leaf bouquet,at the smallest grave,tempslibres,3,5,5
"out of the city,",so many stars,unnamed,tempslibres,5,4,2
solo trip,in the campfire smoke,old memories,tempslibres,3,6,4
one hundred views,of the sunrise -,appartment block,tempslibres,4,4,4
doves,on the TV antenna,war on TV,tempslibres,1,"9,7","4,6"
the red maple-,striptease,in the driveway,tempslibres,4,2,4
pumpkin moon:,tai chi movements time,the eclipse photos,tempslibres,3,5,5
frost,on the pumpkin:,lunar eclipse,tempslibres,1,4,4
All Saints Day -,in the field only small,pumpkins are left,tempslibres,3,6,4
all hallows eve---,stars paint the,cemetery ground,tempslibres,4,3,5
all saints day---,spent candles,in the cemetery,tempslibres,3,3,6
dark clouds---,a student drawing,with charcoal,tempslibres,2,5,3
typhoon passed--,one watering can,in the sandbox,tempslibres,3,5,4
typhoon passed--,comes the,local circus,tempslibres,3,2,4
red dragonflies,gather around the,blind person,tempslibres,4,5,3
letter from overseas,a call from southward geese,penetrates the thicket,tempslibres,6,6,6
indian summer,the neighbor's daughter sunbathes,beside their empty pool,tempslibres,5,7,6
scent of roses --,counting the stars,one by one,tempslibres,4,4,3
eating rice---,how many stars are,in the sky ?,tempslibres,3,5,3
falling leaves---,a trail of clothing,leads to the bed,tempslibres,3,5,4
"biting his nails,",a little boy watches,the outgoing tide,tempslibres,4,6,5
cold night---,my reflection,sipping coffee,tempslibres,2,4,4
November moon,the last ball of cheese,in the fridge,tempslibres,4,5,3
the Thanksgiving meal -,after eating the talk,slows down,tempslibres,5,6,2
around where the,steppingstone ends off,autumn gone,tempslibres,4,5,3
dawn --,the maple's colors,spread through the fog,tempslibres,1,5,4
geriatric ward--,the table groans,when they fold it up,tempslibres,5,4,5
watching,the lunar eclipse,a dead rose,tempslibres,2,5,3
moon viewing---,warming my hands,with a cup of coffee,tempslibres,3,4,6
Halloween night,ghosts and goblins,watch the rain,tempslibres,4,4,3
burning leaves --,Kerry concedes,the election,tempslibres,3,4,4
downpour -,the pumpkin's smile,goes out,tempslibres,2,4,2
indian summer,the viagra stock,deflates,tempslibres,5,5,2
an old temple,amongst cedar trees,too many leaves fallen...,tempslibres,4,5,6
from an old temple,to an old temple,autumn wind,tempslibres,5,5,3
hundreds of,gentians blooming--,class reunion,tempslibres,3,4,4
a new day --,the priest's robes,fill with snow,tempslibres,3,3,3
late harvester --,sickle moon in the sky,over the mature corn,tempslibres,4,6,6
silent phone,only the ring,from his teacup,tempslibres,3,4,4
the teacup,as empty as,my evening,tempslibres,3,4,3
a teacup,to fill,my afternoon,tempslibres,3,2,4
my day,measured out,in teaspoons,tempslibres,2,3,3
discarding,the tea leaves--,distant thunder,tempslibres,3,3,4
moonlight,baby's cheek,at breast,tempslibres,2,3,2
cold night,the clink of bottles,in a grocery cart,tempslibres,2,5,"5,6"
contemplating,nightfall---,the stone buddha,tempslibres,4,2,4
the offering,in front of the stone buddha,eaten by cats,tempslibres,"3,4",7,4
"between two rivers,",the echo of,his mallet,tempslibres,5,4,3
sunday afternoon---,a steam train,pushes back the fog,tempslibres,5,3,5
winter clouds,seem to move slower too,in the cold night,tempslibres,3,6,4
it happened,just after the full moon,snow,tempslibres,3,6,1
long-distance train,men on the platform,talk on their mobiles,tempslibres,2,5,5
two minutes silence,a cell phone keeps ringing,Nehru smiles from his frame,tempslibres,5,6,6
Venus,a faint glow,from the refinery,tempslibres,2,3,6
predawn,a grey dove outside,my window,tempslibres,2,5,3
solstice,a shaft of sunlight,through rock,tempslibres,2,5,2
rainburst--,thoughts of you,fading,tempslibres,2,3,2
desert wind,the potter's fingerprints,on an ancient shard,tempslibres,3,6,5
another test,another doctor visit,long winter nights,tempslibres,4,7,4
arctic air,soothes the desert heat . . .,blended whiskey,tempslibres,3,5,4
December dusk -,a solitary pine tree,all lit up,tempslibres,4,7,3
christmas services,a cellular phone rings out,handel's messiah,tempslibres,5,7,5
dried wheat grass---,a bleached blond,combing her hair,tempslibres,3,3,4
no stars,in the sky tonight,hungry carp,tempslibres,2,5,3
breathless --,camellias falling,one by one,tempslibres,2,5,3
in the dry grass,frost appears,on the fallen pears,tempslibres,4,3,5
slate skys,chalk mark outlines,on the sidewalk,tempslibres,2,4,4
autumn,along the highway,buzzards wait,tempslibres,2,5,3
together,we watch the eclipse,far apart,tempslibres,3,5,3
last leaves,shaking on a branch,late migrators,tempslibres,2,5,4
empty sky,she turns love letters,into wings,tempslibres,3,5,3
a butterfly,hovers above me,friend's funeral,tempslibres,4,5,4
windstorm,the berry stains,on the path,tempslibres,2,4,3
Remembrance Day-,even the traffic,pauses for 2 minutes,tempslibres,4,5,6
21-gun salute-,mortar fire echoes,in his eyes,tempslibres,5,"5,6",3
dignified march-,veterans and peacekeepers,pass the applause,tempslibres,4,"6,7",4
 bare trees,in patches of fog,from here,tempslibres,2,5,2
wild fires,in the mist,the ashes,tempslibres,"2,3",3,3
growing darkness,gleam of setting sun,on Chinese Lantern,tempslibres,4,5,5
rain scented air,a thousand frogs,croaking,tempslibres,4,4,2
grey sky,the cluster of white breaks up,into egrets,tempslibres,2,7,4
night traffic,the silent lake,seems much bigger,tempslibres,3,4,4
little pawprints,in the concrete,from the lost kitten,tempslibres,4,4,5
Danube dripping,from a housewife's bag,the tail of a carp,tempslibres,4,5,5
false dawn,sometimes i still,think of home,tempslibres,2,4,3
first frost -,a twirl of yellow leaves,as the bus passes,tempslibres,2,6,5
the same moon,shines on us both --,these cold sheets,tempslibres,3,"4,5",3
sodium light -,a darker world beneath,the puddles,tempslibres,4,6,3
lockerbie -,the long walk from graveyard,into town,tempslibres,3,6,3
silbury hill -,my wife pregnant with our,first child,tempslibres,4,"6,7",2
north winds ,snow flakes and,the smell of smoke,tempslibres,2,3,4
burning leaves,this foggy evening---,two kinds of smoke,tempslibres,3,5,4
stoplight,each of us tapping,to our own beat,tempslibres,2,"5,6","4,5"
laundry encounter,a plastic shark,falls out of a bath towel,tempslibres,5,4,"6,7"
'seven samurai' *,half the village burning,while my son makes popcorn,tempslibres,5,6,6
hard winter ground -,we argue about,the constellations,tempslibres,4,5,5
road accident,a crowd of teddies stares out,from the shop window,tempslibres,4,7,5
deep night,one cricket chirps,anyhow,tempslibres,2,4,3
ants transport a moth,traffic noise penetrates,the bamboo grove,tempslibres,5,6,4
autumn breakfast,the last mosquito's hover,over my campfire,tempslibres,4,7,6
passing monarchs --,a few leaves flutter,to the road,tempslibres,4,5,3
waiting for winter---,eating rice balls,under a full moon,tempslibres,5,4,5
"scooping steamed rice,",the laborer,at sundown,tempslibres,4,4,3
windswept afternoon---,tea scent,on my tongue,tempslibres,5,2,3
grandfather's grave,just another stone,for the dragonfly,tempslibres,4,5,5
a sleepless hour,first the geese,then the train,tempslibres,"4,5",3,3
fall clock,the deer by the pond,an hour earlier,tempslibres,2,5,"5,6"
morning troubles,it starts with a dead cricket,in the spider web,tempslibres,4,7,5
cotton fields*,the only white left,is the snow,tempslibres,3,5,3
peach moon . . .,the thin slice left,for us,tempslibres,2,4,"2,3"
grassy moon,we slip off our shoes,to count the stars,tempslibres,3,"5,6",4
the fish lazily surface,in the pond nearby ~,the sun on my teacup,tempslibres,7,5,6
Parting the fog,blue nose of the ferry,homeward bound,tempslibres,4,6,3
Autumn sky,many layers of clouds,pile of leaves,tempslibres,3,6,3
Autumn sky,shades of pink and purple,field of pumkins,tempslibres,3,6,4
last light,sounds of crows settling,in the tree,tempslibres,2,"5,6",3
chirping birds --,the instant I press,the stop button,tempslibres,3,5,4
plasma tv -,in high resolution,the homeless man's face,tempslibres,"4,6",6,5
the sound of geese,drowned by the sound of the train,this morning,tempslibres,4,7,3
At breakfast,after first sip of coffee,i notice a rainbow,tempslibres,3,7,6
cicadas,at twilight,finally it rains,tempslibres,3,3,5
fading bougainvillea, in the night sky . . .,    mars!,tempslibres,7,4,1
afternoon lull,the traffic island,crowded with pigeons,tempslibres,4,5,5
bike tail lights,a lingering smell,of perfume,tempslibres,3,"4,5",3
quiet lane,after the jasmine,smell of fried onions,tempslibres,3,5,5
gentle,on my window,summer rain,tempslibres,2,4,3
summer's end-,a cool rain slides,down the hollyhocks,tempslibres,3,4,5
summer's end,my hand lingers,in the dry grass,tempslibres,3,4,4
hungry,half of the moon,hidden,tempslibres,2,4,2
rain,another leaf,down,tempslibres,1,4,1
sharia,the sound of one hand,clapping,tempslibres,3,5,2
acorn falls,the sound of rain,continues,tempslibres,3,4,3
First day of autumn,splash of a spawning salmon,another cycle begins,tempslibres,5,7,7
Last day of September,bay and islands in fog,aroma of coffee,tempslibres,6,6,6
First day of October,the morning sun in my eyes,clank of the furnace,tempslibres,6,7,5
A fine mist,covers the tall cedars,foggy glasses,tempslibres,3,6,4
splatting drops . . .,  moments ago they held,      a rainbow,tempslibres,3,6,3
hillside thunder,barely a rainbow in a plume,of smoke,tempslibres,4,8,2
morning camp,only an ember remains,but it's enough,tempslibres,3,7,4
blackout --,how bright Mars shines,this summer night!,tempslibres,2,4,4
rush hour ~,closing the car window,on my hair,tempslibres,"2,3",6,3
black-out--,the holiday glow,of fireflies,tempslibres,1,5,4
black-out--,in my neighbor's house,a room to room glow,tempslibres,1,5,5
warmed-over coffee--,the gray gray sound,of winter rain,tempslibres,3,4,4
the old temple,a snake on the stone step,crawling away,tempslibres,4,6,4
sparrow song--,two ladies on the verandah,just before the rain,tempslibres,3,8,5
summer heat,my air conditioner,sweating,tempslibres,3,6,2
summer's end-,one haiku becomes,another,tempslibres,3,5,3
sunset,the shopkeeper burns incense,to drive out mosquitoes,tempslibres,2,7,6
sudden rain,cows crowd the entrance,to the hotel,tempslibres,3,5,4
opulent temple,pigeons occupy,every niche,tempslibres,5,5,"3,4"
Over the bay,August full moon rises,as days shorten,tempslibres,4,6,4
dog days --,the hill carried away,a truck at a time,tempslibres,2,6,5
lingering day --,I study the moss,in a park bench,tempslibres,"3,4",5,4
last straw rejection --,the telemarketer tells me,I'm too old,tempslibres,5,8,3
summer's end,an orange sunset,crayoned on the wall,tempslibres,3,5,5
two moons,on August 27th,Mother's birthdate,tempslibres,2,7,4
Wild fires rage,scent of cedar,fills the air,tempslibres,"3,4",4,3
children dancing,circles in the rain-,autumn leaves,tempslibres,4,5,3
falling leaves-,unpacking winter clothes,from cedar trunks,tempslibres,3,6,4
starless night--,Las Vegas spills,over the desert,tempslibres,3,"4,6",5
garden embrace,the fresh smell of her,sun dried laundry,tempslibres,4,5,4
kitchen embrace,the smell of her hot,apple pie,tempslibres,4,5,3
farewell embrace,a faint essence,of mothballs,tempslibres,4,4,3
fallen tree,the poor woman's axe,gleams brightly,tempslibres,3,5,3
muddy street,the black pig's feet,and tail tip are white,tempslibres,3,4,5
unkempt garden,a hibiscus blooms,amongst the weeds,tempslibres,4,5,4
pleasantly drunk,in the orchard,a flock of waxwings,tempslibres,4,4,5
bonfire's glow,my niece cups her hands,around a firefly,tempslibres,4,5,6
dark,clouds,a pigeon,tempslibres,1,1,3
Twin Towers-,where once two shadows,now only sun,tempslibres,3,5,4
rice seedlings-,each step deeper,in the mud,tempslibres,3,4,3
the moon,in every puddle,the same,tempslibres,2,"5,6",2
the stench,of a dead sheep,in summer,tempslibres,2,4,3
sad words,and tears in my teacup,rainstorm,tempslibres,2,6,2
rainy New York,from the tenth storey window,black umbrellas bloom,tempslibres,4,7,5
rainy Baltimore,umbrella blossoms,in cafe windows,tempslibres,5,5,5
summer wind,the blue jay's reflection,in the birdbath,tempslibres,3,6,4
Memorial Day,a layer of dust,covers his urn,tempslibres,5,5,4
cloudburst,the flies are already,in the house,tempslibres,2,6,3
soft rain,the sound of hammering,from the construction site,tempslibres,2,6,6
sunset --,the day's heat,still in the car,tempslibres,2,3,4
end of the drought --,a mushroom tilts,under the spruce,tempslibres,4,4,4
 day moon -,the girl brushing her hair,smiles suddenly,tempslibres,2,6,4
lifting fog,the face of an old friend,on my morning walk,tempslibres,3,6,5
daybreak ...,still sipping bitter coffee,we rehash last night,tempslibres,2,7,5
cloud shadows --,and eagle picks over,what the tide left,tempslibres,3,6,4
ebb tide --,a photo of a missing girl,flutters in the breeze,tempslibres,2,8,5
first raindrops --,frog bones in,the middle of the path,tempslibres,3,3,6
after the long wait . . .,  two unattended dove eggs,      in summer rain,tempslibres,5,7,4
walking to work -,the blossoms on my street,late this year,tempslibres,4,6,3
morning mist--,a canada goose,asleep on the dock,tempslibres,3,5,5
summer solstice,he remembers,to lift the sea,tempslibres,4,4,4
fresh paint,a white moth circles,the bug light,tempslibres,2,5,3
slow boats --,the wind pushes a butterfly,out to sea,tempslibres,2,8,3
Reading a book,a sudden brightness,the full moon,tempslibres,4,5,3
Falling leaves,I already miss you,This winter,tempslibres,3,6,3
storm warnings . . .,sunday afternoon by the fire,mail from an old friend,tempslibres,3,"8,9",5
Shivering,in the cold spring air.,  Plum blossoms!,tempslibres,3,"5,6",3
it's as if winter,is about to leave,mom,tempslibres,5,5,1
minus forty-six,steam from the coffee,warms my nose,tempslibres,4,5,3
skyscraper,a window-washer squeegees,the thunderhead,tempslibres,3,5,4
High winds,trees down on power lines,no morning coffee,tempslibres,2,6,5
On a grey day,a spot of colour,his red hair,tempslibres,4,5,3
3:00 a.m.--,through sounds of winter rain,the mail plane landing,tempslibres,4,6,5
no wind tonight,across this reach of prairie,all those stars,tempslibres,4,7,3
a dry new year,december snowman begins,to show his age,tempslibres,4,7,4
first snow,the asylum seeker,thoughts on the land,tempslibres,2,6,4
checking dividends,on the cashpoint screen,to and fro...an ant,tempslibres,5,5,4
sunshine and snow,the boys in the reserves,watch the letterbox,tempslibres,4,6,5
rumors of war --,removing decorations,from the Christmas tree,tempslibres,4,7,5
insomnia,the mouse,has it too,tempslibres,4,2,3
stars at dusk,a spray of willow buds,by the gate,tempslibres,3,6,3
untrodden snow --,my breath clouds the way,into the trees,tempslibres,4,5,4
crescent moon --,I follow the trail of,a dragged Christmas tree,tempslibres,3,6,5
fireworks gone,Orion's beauty remains,in the stillness,tempslibres,3,7,4
Mass over--,the rush to be first,out of the lot,tempslibres,3,5,4
her plastic lifelines,in harsh hospital light -,"even fresh flowers, fade",tempslibres,5,6,6
home again,even the ants,seem familiar,tempslibres,3,4,4
along the road,shape of a willow,conforms to the trucks,tempslibres,4,5,5
obituary,a child's face,smiles from the page,tempslibres,5,3,4
new year's day . . .,     spent bottle-rockets,           in the road,tempslibres,3,3,3
wolf prints . . .,  the gas lantern,     splutters,tempslibres,2,4,2
white roads,leading nowhere ><,Happy New Year ?,tempslibres,2,4,4
drinking mulled wine,on the square --,white breaths,tempslibres,4,3,2
first Christmas,a tiny new stocking,joins the family,tempslibres,3,6,"4,5"
autumn sun,my shadow over,tombstones,tempslibres,3,5,2
fly fishing;,the sound of the wind,in the reel,tempslibres,3,5,3
mountain cave --,from out of darkness,the morning light,tempslibres,3,5,4
chill night,new fallen pear blossoms,glow in the moonlight,tempslibres,2,6,5
changing winds,bring up your kite,and the Dow,tempslibres,3,4,3
fresh autumn breeze,or the advance of age?,forgotten tea...,tempslibres,4,6,4
60 today,the full moon,still rising,tempslibres,4,3,3
desert garden,frosted lettuce leaves,in the pink dawn,tempslibres,4,5,4
Passover darkness -,before the buds burst open;,a child's eyes in death.,tempslibres,5,7,5
misty morning,echoes of blue jay cries,through the pines,tempslibres,4,6,3
farmer's market,she paints a flower,on a child's cheek,tempslibres,4,5,4
montana morning,the horses with their backs,to blowing snow,tempslibres,5,6,4
street light sway ~,dreams of her linger,with the storm,tempslibres,3,5,3
tandem bicycle,wind in our hair,a shared laugh,tempslibres,5,"4,5",3
fresh brewed coffee,cream and sugar swirls,she stirs in her thoughts,tempslibres,4,5,5
dry haystack,flames climb higher,against the night sky,tempslibres,3,4,5
spring breeze,blowing dandelions,in circles,tempslibres,"2,3",6,3
Sack of cheeries ~,clouds grow dark on the road,to the coast,tempslibres,5,6,3
salmon sunrise,a splash resounds over,the calm bay,tempslibres,4,6,3
road closed,moose tracks continue on,local traffic only,tempslibres,2,6,6
chilled by spring winds,schoolgirls sniffing body spray,behind the gym,tempslibres,"4,5",7,4
needle exchange,sharing a breakfast drink,in Museum Square,tempslibres,4,6,5
mayflowers,three small boys track down,terrorists,tempslibres,3,5,3
boy's bedroom,a blackbird's nest,found deep in the lilac,tempslibres,3,4,6
a lost child,in a ward of iron lungs,her daffodils,tempslibres,3,7,4
teeth in a glass,the nurse takes away his pot,of blue hyacinths,tempslibres,4,7,5
coffee cold,she clips the obituary,from many papers,tempslibres,3,8,5
august wind,on the dock seagulls,stand on two legs,tempslibres,3,5,4
strong winter wind,bits of Batman kite wings,fall from the tree,tempslibres,4,6,4
georgia peach,sweet cream and wrinkle remover,in the shopping cart,tempslibres,3,8,5
a skein of birds,twines across the sky,the northbound train departs,tempslibres,4,5,6
dawn chorus begins,I reach for,the snooze button,tempslibres,5,3,4
late rising moon,fireflies decorate,the tamarind tree,tempslibres,4,6,5
moving day,my life,reduced to boxes,tempslibres,3,2,5
rainstorm,ants drink,from a droplet,tempslibres,2,2,4
meteor watching --,a match lights up,an unknown face,tempslibres,5,4,4
Ancient roman ruins,along both sides of the road,white jet trail above...,tempslibres,6,7,5
Sky dewed with stars,cool air listening in news,a man was hanged.,tempslibres,5,"6,7",4
Country cemetery,snail on corroded tombstone,trails from A to O...,tempslibres,6,7,5
leftover summer grass,... horses browse,through crusted snow,tempslibres,6,3,4
old leather saddle,cherry colored and shiny,smells of horse,tempslibres,5,7,3
dentist's office -,cracks between tiles,filled with dirt,tempslibres,4,4,3
raking the leaves ~,wind blows,the wrong way,tempslibres,4,2,3
hot beach sand...,between my fingers,a cigarette butt,tempslibres,3,5,5
between the second,and the third line -,short trip to bathroom,tempslibres,5,4,5
stupid arab -,he only wants to learn,to fly straight,tempslibres,4,6,3
egret stands,"in the blue rice field,",dusk creeps in,tempslibres,3,5,3
long centipede,on the ceiling- long talks,of what to do,tempslibres,4,6,4
white clouds drift,"in the August sky,",a child dreams,tempslibres,3,5,3
desire,the honey,inside me,tempslibres,3,3,3
Post Office --,stamped on the sidewalk,pink blossoms,tempslibres,3,5,3
straw hat -,flowers fading,under the sun,tempslibres,2,4,4
voices of loons,cross the misted cove,call and response,tempslibres,4,5,4
rainy day--,they give me back,my shoelaces,tempslibres,3,4,4
dusk--,the space between us,filling with snow,tempslibres,1,"5,6",4
fragile morning--,a blue psilocybin in the middle,of the garden,tempslibres,4,10,4
Talking with you,now this morning somehow,scent of plumeria,tempslibres,4,6,6
Red as the poppy,maple leaves fall,on the memorial,tempslibres,5,4,6
First day of Autumn,even your touch feels,somewhat cooler,tempslibres,5,5,4
At last some sunshine,blue Pacifc this morning,boiling tea water,tempslibres,5,6,5
