Unnamed: 0,0,1,2,3,4,5,6,7,8,haiku,lang,0_syllables,1_syllables,2_syllables,3_syllables,4_syllables,5_syllables,6_syllables,7_syllables,8_syllables
57,Spring day,cool and grey,cup of tea,,,,,,,"Spring day
cool and grey
cup of tea",en,"2,3",3,3,,,,,,
58,Grey today,the waves rush,memories,,,,,,,"Grey today
the waves rush
memories",en,3,3,3,,,,,,
63,Spring equinox,Pray the ancestor grave,In cold rain,,,,,,,"Spring equinox
Pray the ancestor grave
In cold rain",en,"4,5",6,3,,,,,,
64,folding chair,the newborn colt tries,to stand,,,,,,,"folding chair
the newborn colt tries
to stand",en,3,5,2,,,,,,
65,scattered sun --,one chickadee,louder than the rest,,,,,,,"scattered sun --
one chickadee
louder than the rest",en,3,4,5,,,,,,
66,orthopaedic clinic,a three-legged chair,outside the entrance,,,,,,,"orthopaedic clinic
a three-legged chair
outside the entrance",en,6,3,5,,,,,,
67,the plane's landing lights,a wave of barking,sweeps the neighbourhood,,,,,,,"the plane's landing lights
a wave of barking
sweeps the neighbourhood",en,5,5,5,,,,,,
69,the way grass parts,as the pheasant passes,spring's end,,,,,,,"the way grass parts
as the pheasant passes
spring's end",en,4,6,2,,,,,,
70,at half-mast,a butterfly passes by,the still flag,,,,,,,"at half-mast
a butterfly passes by
the still flag",en,2,7,3,,,,,,
71,half asleep -,the rhythm of the,receding rain,,,,,,,"half asleep -
the rhythm of the
receding rain",en,3,5,4,,,,,,
72,evening service --,light beams,into the night,,,,,,,"evening service --
light beams
into the night",en,4,2,4,,,,,,
74,watching summer clouds,thoughts shaping and,reshaping,,,,,,,"watching summer clouds
thoughts shaping and
reshaping",en,5,4,3,,,,,,
75,geese honking---,children in the,bathtub playing,,,,,,,"geese honking---
children in the
bathtub playing",en,3,4,4,,,,,,
77,rabbit trail,nothing but ears,above the snow,,,,,,,"rabbit trail
nothing but ears
above the snow",en,3,4,4,,,,,,
78,late night at the office,an exit sign floats,next to the moon,,,,,,,"late night at the office
an exit sign floats
next to the moon",en,6,5,4,,,,,,
79,celtic harp,the first raindrops touch,my cheeks,,,,,,,"celtic harp
the first raindrops touch
my cheeks",en,3,5,2,,,,,,
80,traffic jam,three saffron-robed men munch nuts,in their SUV,,,,,,,"traffic jam
three saffron-robed men munch nuts
in their SUV",en,3,6,5,,,,,,
81,Valentine's Day,a forsythia,without birds,,,,,,,"Valentine's Day
a forsythia
without birds",en,4,5,3,,,,,,
82,early spring air,all day long,our beds not made,,,,,,,"early spring air
all day long
our beds not made",en,"4,5",3,"4,5",,,,,,
83,husband away,washing his socks,by hand,,,,,,,"husband away
washing his socks
by hand",en,4,4,2,,,,,,
84,her fresh flowers -,his fresh grave,valentine's day,,,,,,,"her fresh flowers -
his fresh grave
valentine's day",en,4,3,4,,,,,,
85,valentines -,the mailman's steps,break the ice,,,,,,,"valentines -
the mailman's steps
break the ice",en,3,4,3,,,,,,
86,only two pinecones,on the park bench ~,Valentine's day,,,,,,,"only two pinecones
on the park bench ~
Valentine's day",en,5,4,4,,,,,,
88,"lakeside,",below the egret---,a city of lights,,,,,,,"lakeside,
below the egret---
a city of lights",en,2,5,5,,,,,,
89,hedgerow birds,three boys share a spliff,by the school gate,,,,,,,"hedgerow birds
three boys share a spliff
by the school gate",en,3,5,4,,,,,,
90,after the rain,moon and stars,underfoot,,,,,,,"after the rain
moon and stars
underfoot",en,4,3,3,,,,,,
91,dwindling bonfire,a shooting star,near Orion,,,,,,,"dwindling bonfire
a shooting star
near Orion",en,"5,6",4,4,,,,,,
92,cold night-,a plane blinks through,Orion's bow,,,,,,,"cold night-
a plane blinks through
Orion's bow",en,2,4,4,,,,,,
93,dark tree silhouettes,low on the horizon,Orion rises,,,,,,,"dark tree silhouettes
low on the horizon
Orion rises",en,5,6,5,,,,,,
94,Science day,the programme begins,with rituals,,,,,,,"Science day
the programme begins
with rituals",en,3,5,4,,,,,,
95,traffic argument,the camel's sneer,is impartial,,,,,,,"traffic argument
the camel's sneer
is impartial",en,5,4,4,,,,,,
97,winter stars,suddenly a whiff,of perfume,,,,,,,"winter stars
suddenly a whiff
of perfume",en,3,5,3,,,,,,
98, trains come and go,but the same people,drinks at bar,,,,,,," trains come and go
but the same people
drinks at bar",en,4,5,3,,,,,,
99,first raindrops,the freight train I passed,two states ago,,,,,,,"first raindrops
the freight train I passed
two states ago",en,3,5,4,,,,,,
100,silhouette. . .,  a shining snow path to,     a pale moon,,,,,,,"silhouette. . .
  a shining snow path to
     a pale moon",en,3,6,3,,,,,,
101,thousands of miles,"away, her first birthday---",fresh mango,,,,,,,"thousands of miles
away, her first birthday---
fresh mango",en,"4,5",6,3,,,,,,
102,swimming across,the moonlit sky---,a gray carp,,,,,,,"swimming across
the moonlit sky---
a gray carp",en,4,4,3,,,,,,
103,half moon,darkness drinking from an,alabaster teacup,,,,,,,"half moon
darkness drinking from an
alabaster teacup",en,2,6,6,,,,,,
104,floating,down river,an egret's shadow,,,,,,,"floating
down river
an egret's shadow",en,2,3,5,,,,,,
105,a McDo box,floats towards the fountain,insect on board,,,,,,,"a McDo box
floats towards the fountain
insect on board",en,3,"5,6",4,,,,,,
108,new year...,a magpie turns over,an old leaf,,,,,,,"new year...
a magpie turns over
an old leaf",en,2,6,3,,,,,,
109,new year,fireworks,in a misty sky,,,,,,,"new year
fireworks
in a misty sky",en,2,2,5,,,,,,
110,silence,the moon breaks through,the firework smoke,,,,,,,"silence
the moon breaks through
the firework smoke",en,2,4,4,,,,,,
114,spring mist,the tree I take shelter under,planted in remembrance,,,,,,,"spring mist
the tree I take shelter under
planted in remembrance",en,"2,3",8,6,,,,,,
115,lingering cold...,the last jar of maple syrup,on the cupboard shelf,,,,,,,"lingering cold...
the last jar of maple syrup
on the cupboard shelf",en,"3,4",8,5,,,,,,
116,"oh moon, moon",above so much powdery snow,father is still ill,,,,,,,"oh moon, moon
above so much powdery snow
father is still ill",en,3,8,5,,,,,,
121,deepening snow--,she leaves our atlas open,to her homeland,,,,,,,"deepening snow--
she leaves our atlas open
to her homeland",en,"3,4","8,7",4,,,,,,
122,familiar names-,the warmth of a woodstove,in January,,,,,,,"familiar names-
the warmth of a woodstove
in January",en,4,6,5,,,,,,
123,eddying leaves,the old woman's wrinkled face,and saree,,,,,,,"eddying leaves
the old woman's wrinkled face
and saree",en,4,7,4,,,,,,
124,morning mist,the iora is gone,before I recall its name,,,,,,,"morning mist
the iora is gone
before I recall its name",en,3,6,7,,,,,,
125,drifting fog,the house across the road,reappears,,,,,,,"drifting fog
the house across the road
reappears",en,3,6,3,,,,,,
132,fading,right before my eyes,morning moon,,,,,,,"fading
right before my eyes
morning moon",en,2,5,3,,,,,,
133,morning glories,find their way to the sun,on barbed wire,,,,,,,"morning glories
find their way to the sun
on barbed wire",en,4,6,"3,4",,,,,,
134,summer rain,the smell of earth,in the air,,,,,,,"summer rain
the smell of earth
in the air",en,3,4,3,,,,,,
135,early spring,everything,dripping,,,,,,,"early spring
everything
dripping",en,"3,4",3,2,,,,,,
136,more rain -,mildew colors,the old roof,,,,,,,"more rain -
mildew colors
the old roof",en,2,4,3,,,,,,
137,mountain storm,somewhere during its echo,the thunder ends,,,,,,,"mountain storm
somewhere during its echo
the thunder ends",en,3,7,4,,,,,,
138,even my pee,stays inside this,cold winter night,,,,,,,"even my pee
stays inside this
cold winter night",en,4,4,4,,,,,,
139,snowfall---,a milk mustache,on my daughter's face,,,,,,,"snowfall---
a milk mustache
on my daughter's face",en,2,4,5,,,,,,
140, drowned,in the sound of the rain,other familiar sounds,,,,,,," drowned
in the sound of the rain
other familiar sounds",en,1,6,6,,,,,,
142,sun dog--,so many names,carved on the cliff ,,,,,,,"sun dog--
so many names
carved on the cliff ",en,2,4,4,,,,,,
143,"Fly,",be afraid!,No Buddhists in this house!,,,,,,,"Fly,
be afraid!
No Buddhists in this house!",en,1,3,6,,,,,,
145,sundown,summer evening melts in dark,fragrance of tea~,,,,,,,"sundown
summer evening melts in dark
fragrance of tea~",en,2,7,4,,,,,,
146,before dinner...,the spider and a fly,share the sunset,,,,,,,"before dinner...
the spider and a fly
share the sunset",en,4,6,4,,,,,,
147,he kissed me,on the fourth of july,fireworks!,,,,,,,"he kissed me
on the fourth of july
fireworks!",en,3,6,2,,,,,,
148,working late,the sound of a small brown moth,in the lampshade,,,,,,,"working late
the sound of a small brown moth
in the lampshade",en,3,7,4,,,,,,
149,in the yard,between our argument -,a red dragonfly,,,,,,,"in the yard
between our argument -
a red dragonfly",en,3,"6,7",5,,,,,,
150,free floating,a tide full of shell fragments,and fireworks ,,,,,,,"free floating
a tide full of shell fragments
and fireworks ",en,3,7,3,,,,,,
151,late summer rain --,two kids break the bottles,under the bridge,,,,,,,"late summer rain --
two kids break the bottles
under the bridge",en,4,6,4,,,,,,
152,morning fog,the bluebird's call,clearly audible,,,,,,,"morning fog
the bluebird's call
clearly audible",en,3,4,5,,,,,,
155,rain,the sound of a horse galloping,through leaves,,,,,,,"rain
the sound of a horse galloping
through leaves",en,1,8,2,,,,,,
157, too hot to sleep,i search for my son's footprint,in the front drive,,,,,,," too hot to sleep
i search for my son's footprint
in the front drive",en,4,7,4,,,,,,
158,the boat crests a wave -,tracing my finger around,an ancient stone,,,,,,,"the boat crests a wave -
tracing my finger around
an ancient stone",en,5,7,4,,,,,,
159,a mosquito,aiming noisily <>,the sound of one hand,,,,,,,"a mosquito
aiming noisily <>
the sound of one hand",en,4,5,5,,,,,,
161,novocain prick--,the warmth where,the dental nurse leans,,,,,,,"novocain prick--
the warmth where
the dental nurse leans",en,4,3,5,,,,,,
162,the smell,of many campfires,in this old hunting shirt,,,,,,,"the smell
of many campfires
in this old hunting shirt",en,2,6,6,,,,,,
163,sculpting,"clay, the potter",at dawn,,,,,,,"sculpting
clay, the potter
at dawn",en,2,4,2,,,,,,
164,master wind,sweeping the temple,zealously,,,,,,,"master wind
sweeping the temple
zealously",en,3,5,3,,,,,,
165,house cleaning---,the forest fire,at dawn,,,,,,,"house cleaning---
the forest fire
at dawn",en,3,"4,5",2,,,,,,
166,metal birds,fly south to the,forest fire,,,,,,,"metal birds
fly south to the
forest fire",en,3,4,"3,4",,,,,,
167,thunderstorm --,a shadow pauses,at the gate,,,,,,,"thunderstorm --
a shadow pauses
at the gate",en,3,5,3,,,,,,
169,crickets' songs,in the pitch-dark night --,how many secrets,,,,,,,"crickets' songs
in the pitch-dark night --
how many secrets",en,3,4,5,,,,,,
170,earthquake,with the typhoon -- more coins,at the temple,,,,,,,"earthquake
with the typhoon -- more coins
at the temple",en,2,6,4,,,,,,
171,food channel,between commercials,dinner burns,,,,,,,"food channel
between commercials
dinner burns",en,3,5,3,,,,,,
172,fading this,autumn night---,the heron's legs,,,,,,,"fading this
autumn night---
the heron's legs",en,3,3,4,,,,,,
173,we sip sweet tea,in silence. . .,a soldier's mother,,,,,,,"we sip sweet tea
in silence. . .
a soldier's mother",en,4,3,5,,,,,,
175,fireside -,a son's face smiles down,from the mantelpiece,,,,,,,"fireside -
a son's face smiles down
from the mantelpiece",en,3,5,5,,,,,,
176,remembering summer,how brittle the leaves,underfoot,,,,,,,"remembering summer
how brittle the leaves
underfoot",en,"5,6",5,3,,,,,,
179,deep in the night,my computer turned off --,sound of autumn rain,,,,,,,"deep in the night
my computer turned off --
sound of autumn rain",en,4,6,5,,,,,,
181,no more war,two fighting beetles,on a tombstone,,,,,,,"no more war
two fighting beetles
on a tombstone",en,3,5,4,,,,,,
182,near the wall,of the cemetery,a condom,,,,,,,"near the wall
of the cemetery
a condom",en,3,6,3,,,,,,
183,during the vigil,a withered flower,on the tiled floor,,,,,,,"during the vigil
a withered flower
on the tiled floor",en,5,5,4,,,,,,
184,no moon--,the individual,songs of crickets,,,,,,,"no moon--
the individual
songs of crickets",en,2,6,4,,,,,,
187,indian summer-,rouging her cheeks,as she waits for a drink,,,,,,,"indian summer-
rouging her cheeks
as she waits for a drink",en,5,4,6,,,,,,
190,egrets,plucking shadows,at dusk,,,,,,,"egrets
plucking shadows
at dusk",en,2,4,2,,,,,,
191,sugar for the tea,behind the bowl,a line of ants,,,,,,,"sugar for the tea
behind the bowl
a line of ants",en,5,4,4,,,,,,
192,fire ant mound,against the flower pot,after the rain,,,,,,,"fire ant mound
against the flower pot
after the rain",en,"3,4",6,4,,,,,,
193,forgetting my words,step by step,the autumn night deepens,,,,,,,"forgetting my words
step by step
the autumn night deepens",en,5,3,6,,,,,,
195,loud pub music,a long silence,between the flirting couple,,,,,,,"loud pub music
a long silence
between the flirting couple",en,4,4,7,,,,,,
197,autumn bonfire ?,all my summer dreams,scatter with the smoke,,,,,,,"autumn bonfire ?
all my summer dreams
scatter with the smoke",en,5,5,5,,,,,,
198,fading light -,a red leaf bouquet,at the smallest grave,,,,,,,"fading light -
a red leaf bouquet
at the smallest grave",en,3,5,5,,,,,,
199,"out of the city,",so many stars,unnamed,,,,,,,"out of the city,
so many stars
unnamed",en,5,4,2,,,,,,
201,solo trip,in the campfire smoke,old memories,,,,,,,"solo trip
in the campfire smoke
old memories",en,3,6,4,,,,,,
203,one hundred views,of the sunrise -,appartment block,,,,,,,"one hundred views
of the sunrise -
appartment block",en,4,4,4,,,,,,
204,doves,on the TV antenna,war on TV,,,,,,,"doves
on the TV antenna
war on TV",en,1,"9,7","4,6",,,,,,
205,the red maple-,striptease,in the driveway,,,,,,,"the red maple-
striptease
in the driveway",en,4,2,4,,,,,,
207,pumpkin moon:,tai chi movements time,the eclipse photos,,,,,,,"pumpkin moon:
tai chi movements time
the eclipse photos",en,3,5,5,,,,,,
208,frost,on the pumpkin:,lunar eclipse,,,,,,,"frost
on the pumpkin:
lunar eclipse",en,1,4,4,,,,,,
209,All Saints Day -,in the field only small,pumpkins are left,,,,,,,"All Saints Day -
in the field only small
pumpkins are left",en,3,6,4,,,,,,
210,all hallows eve---,stars paint the,cemetery ground,,,,,,,"all hallows eve---
stars paint the
cemetery ground",en,4,3,5,,,,,,
211,all saints day---,spent candles,in the cemetery,,,,,,,"all saints day---
spent candles
in the cemetery",en,3,3,6,,,,,,
212,dark clouds---,a student drawing,with charcoal,,,,,,,"dark clouds---
a student drawing
with charcoal",en,2,5,3,,,,,,
220,typhoon passed--,one watering can,in the sandbox,,,,,,,"typhoon passed--
one watering can
in the sandbox",en,3,5,4,,,,,,
221,typhoon passed--,comes the,local circus,,,,,,,"typhoon passed--
comes the
local circus",en,3,2,4,,,,,,
222,red dragonflies,gather around the,blind person,,,,,,,"red dragonflies
gather around the
blind person",en,4,5,3,,,,,,
223,letter from overseas,a call from southward geese,penetrates the thicket,,,,,,,"letter from overseas
a call from southward geese
penetrates the thicket",en,6,6,6,,,,,,
224,indian summer,the neighbor's daughter sunbathes,beside their empty pool,,,,,,,"indian summer
the neighbor's daughter sunbathes
beside their empty pool",en,5,7,6,,,,,,
225,scent of roses --,counting the stars,one by one,,,,,,,"scent of roses --
counting the stars
one by one",en,4,4,3,,,,,,
226,eating rice---,how many stars are,in the sky ?,,,,,,,"eating rice---
how many stars are
in the sky ?",en,3,5,3,,,,,,
227,falling leaves---,a trail of clothing,leads to the bed,,,,,,,"falling leaves---
a trail of clothing
leads to the bed",en,3,5,4,,,,,,
228,"biting his nails,",a little boy watches,the outgoing tide,,,,,,,"biting his nails,
a little boy watches
the outgoing tide",en,4,6,5,,,,,,
229,cold night---,my reflection,sipping coffee,,,,,,,"cold night---
my reflection
sipping coffee",en,2,4,4,,,,,,
230,November moon,the last ball of cheese,in the fridge,,,,,,,"November moon
the last ball of cheese
in the fridge",en,4,5,3,,,,,,
232,the Thanksgiving meal -,after eating the talk,slows down,,,,,,,"the Thanksgiving meal -
after eating the talk
slows down",en,5,6,2,,,,,,
233,around where the,steppingstone ends off,autumn gone,,,,,,,"around where the
steppingstone ends off
autumn gone",en,4,5,3,,,,,,
234,dawn --,the maple's colors,spread through the fog,,,,,,,"dawn --
the maple's colors
spread through the fog",en,1,5,4,,,,,,
235,geriatric ward--,the table groans,when they fold it up,,,,,,,"geriatric ward--
the table groans
when they fold it up",en,5,4,5,,,,,,
238,watching,the lunar eclipse,a dead rose,,,,,,,"watching
the lunar eclipse
a dead rose",en,2,5,3,,,,,,
240,moon viewing---,warming my hands,with a cup of coffee,,,,,,,"moon viewing---
warming my hands
with a cup of coffee",en,3,4,6,,,,,,
241,Halloween night,ghosts and goblins,watch the rain,,,,,,,"Halloween night
ghosts and goblins
watch the rain",en,4,4,3,,,,,,
242,burning leaves --,Kerry concedes,the election,,,,,,,"burning leaves --
Kerry concedes
the election",en,3,4,4,,,,,,
243,downpour -,the pumpkin's smile,goes out,,,,,,,"downpour -
the pumpkin's smile
goes out",en,2,4,2,,,,,,
244,indian summer,the viagra stock,deflates,,,,,,,"indian summer
the viagra stock
deflates",en,5,5,2,,,,,,
248,an old temple,amongst cedar trees,too many leaves fallen...,,,,,,,"an old temple
amongst cedar trees
too many leaves fallen...",en,4,5,6,,,,,,
249,from an old temple,to an old temple,autumn wind,,,,,,,"from an old temple
to an old temple
autumn wind",en,5,5,3,,,,,,
250,hundreds of,gentians blooming--,class reunion,,,,,,,"hundreds of
gentians blooming--
class reunion",en,3,4,4,,,,,,
251,a new day --,the priest's robes,fill with snow,,,,,,,"a new day --
the priest's robes
fill with snow",en,3,3,3,,,,,,
252,late harvester --,sickle moon in the sky,over the mature corn,,,,,,,"late harvester --
sickle moon in the sky
over the mature corn",en,4,6,6,,,,,,
253,silent phone,only the ring,from his teacup,,,,,,,"silent phone
only the ring
from his teacup",en,3,4,4,,,,,,
254,the teacup,as empty as,my evening,,,,,,,"the teacup
as empty as
my evening",en,3,4,3,,,,,,
255,a teacup,to fill,my afternoon,,,,,,,"a teacup
to fill
my afternoon",en,3,2,4,,,,,,
256,my day,measured out,in teaspoons,,,,,,,"my day
measured out
in teaspoons",en,2,3,3,,,,,,
257,discarding,the tea leaves--,distant thunder,,,,,,,"discarding
the tea leaves--
distant thunder",en,3,3,4,,,,,,
263,moonlight,baby's cheek,at breast,,,,,,,"moonlight
baby's cheek
at breast",en,2,3,2,,,,,,
264,cold night,the clink of bottles,in a grocery cart,,,,,,,"cold night
the clink of bottles
in a grocery cart",en,2,5,"5,6",,,,,,
265,contemplating,nightfall---,the stone buddha,,,,,,,"contemplating
nightfall---
the stone buddha",en,4,2,4,,,,,,
266,the offering,in front of the stone buddha,eaten by cats,,,,,,,"the offering
in front of the stone buddha
eaten by cats",en,"3,4",7,4,,,,,,
267,"between two rivers,",the echo of,his mallet,,,,,,,"between two rivers,
the echo of
his mallet",en,5,4,3,,,,,,
268,sunday afternoon---,a steam train,pushes back the fog,,,,,,,"sunday afternoon---
a steam train
pushes back the fog",en,5,3,5,,,,,,
269,winter clouds,seem to move slower too,in the cold night,,,,,,,"winter clouds
seem to move slower too
in the cold night",en,3,6,4,,,,,,
270,it happened,just after the full moon,snow,,,,,,,"it happened
just after the full moon
snow",en,3,6,1,,,,,,
271,long-distance train,men on the platform,talk on their mobiles,,,,,,,"long-distance train
men on the platform
talk on their mobiles",en,2,5,5,,,,,,
272,two minutes silence,a cell phone keeps ringing,Nehru smiles from his frame,,,,,,,"two minutes silence
a cell phone keeps ringing
Nehru smiles from his frame",en,5,6,6,,,,,,
273,Venus,a faint glow,from the refinery,,,,,,,"Venus
a faint glow
from the refinery",en,2,3,6,,,,,,
277,predawn,a grey dove outside,my window,,,,,,,"predawn
a grey dove outside
my window",en,2,5,3,,,,,,
278,solstice,a shaft of sunlight,through rock,,,,,,,"solstice
a shaft of sunlight
through rock",en,2,5,2,,,,,,
279,rainburst--,thoughts of you,fading,,,,,,,"rainburst--
thoughts of you
fading",en,2,3,2,,,,,,
280,desert wind,the potter's fingerprints,on an ancient shard,,,,,,,"desert wind
the potter's fingerprints
on an ancient shard",en,3,6,5,,,,,,
281,another test,another doctor visit,long winter nights,,,,,,,"another test
another doctor visit
long winter nights",en,4,7,4,,,,,,
282,arctic air,soothes the desert heat . . .,blended whiskey,,,,,,,"arctic air
soothes the desert heat . . .
blended whiskey",en,3,5,4,,,,,,
283,December dusk -,a solitary pine tree,all lit up,,,,,,,"December dusk -
a solitary pine tree
all lit up",en,4,7,3,,,,,,
284,christmas services,a cellular phone rings out,handel's messiah,,,,,,,"christmas services
a cellular phone rings out
handel's messiah",en,5,7,5,,,,,,
285,dried wheat grass---,a bleached blond,combing her hair,,,,,,,"dried wheat grass---
a bleached blond
combing her hair",en,3,3,4,,,,,,
286,no stars,in the sky tonight,hungry carp,,,,,,,"no stars
in the sky tonight
hungry carp",en,2,5,3,,,,,,
287,breathless --,camellias falling,one by one,,,,,,,"breathless --
camellias falling
one by one",en,2,5,3,,,,,,
289,in the dry grass,frost appears,on the fallen pears,,,,,,,"in the dry grass
frost appears
on the fallen pears",en,4,3,5,,,,,,
290,slate skys,chalk mark outlines,on the sidewalk,,,,,,,"slate skys
chalk mark outlines
on the sidewalk",en,2,4,4,,,,,,
291, food channel --,"between commercials,",dinner burns,,,,,,," food channel --
between commercials,
dinner burns",en,3,5,3,,,,,,
292,autumn,along the highway,buzzards wait,,,,,,,"autumn
along the highway
buzzards wait",en,2,5,3,,,,,,
293,together,we watch the eclipse,far apart,,,,,,,"together
we watch the eclipse
far apart",en,3,5,3,,,,,,
294,last leaves,shaking on a branch,late migrators,,,,,,,"last leaves
shaking on a branch
late migrators",en,2,5,4,,,,,,
295,empty sky,she turns love letters,into wings,,,,,,,"empty sky
she turns love letters
into wings",en,3,5,3,,,,,,
296,a butterfly,hovers above me,friend's funeral,,,,,,,"a butterfly
hovers above me
friend's funeral",en,4,5,4,,,,,,
300,windstorm,the berry stains,on the path,,,,,,,"windstorm
the berry stains
on the path",en,2,4,3,,,,,,
301,Remembrance Day-,even the traffic,pauses for 2 minutes,,,,,,,"Remembrance Day-
even the traffic
pauses for 2 minutes",en,4,5,6,,,,,,
302,21-gun salute-,mortar fire echoes,in his eyes,,,,,,,"21-gun salute-
mortar fire echoes
in his eyes",en,5,"5,6",3,,,,,,
303,dignified march-,veterans and peacekeepers,pass the applause,,,,,,,"dignified march-
veterans and peacekeepers
pass the applause",en,4,"6,7",4,,,,,,
304, bare trees,in patches of fog,from here,to the scarecrow,,,,,," bare trees
in patches of fog
from here
to the scarecrow",en,2,5,2,4,,,,,
305,wild fires,in the mist,the ashes,,,,,,,"wild fires
in the mist
the ashes",en,"2,3",3,3,,,,,,
306,growing darkness,gleam of setting sun,on Chinese Lantern,,,,,,,"growing darkness
gleam of setting sun
on Chinese Lantern",en,4,5,5,,,,,,
