haiku,0,1,2,lang,0_syllables,1_syllables,2_syllables
"ocean swim
not knowing what's
beneath me
",ocean swim,not knowing what's,beneath me,en,3,4,3
"stocking
empty to the toe
the spray of citrus
",stocking,empty to the toe,the spray of citrus,en,2,5,5
"autumn's last month
still awaiting
my inheritance
",autumn's last month,still awaiting,my inheritance,en,4,4,5
"after the rain
only a few petals left
with the rose
",after the rain,only a few petals left,with the rose,en,4,7,3
"empty restaurant
all the tables
candlelit
",empty restaurant,all the tables,candlelit,en,"4,5",4,3
"spring again . . .
a songbird's paean
at dawn
",spring again . . .,a songbird's paean,at dawn,en,"3,4",5,2
"the busker
buttons his collar
",the busker,buttons his collar,,en,3,5,0
"rolling thunder
the bass on the car stereo
passing by
",rolling thunder,the bass on the car stereo,passing by,en,4,8,3
"a line of gulls
fencing the shoreline
unbroken sun
",a line of gulls,fencing the shoreline,unbroken sun,en,4,5,4
"tax time?
a gnome hunches over his desk
in the garden
",tax time?,a gnome hunches over his desk,in the garden,en,2,8,4
"a whiff of jasmine
as she unties her hair?
hint of rain
",a whiff of jasmine,as she unties her hair?,hint of rain,en,5,6,3
"pausing to ponder
the dragonfly
on my pen's point
",pausing to ponder,the dragonfly,on my pen's point,en,5,4,4
"a better day
the sink ant granted
a reprieve
",a better day,the sink ant granted,a reprieve,en,4,5,3
"contract signed
the wind catcher
twirls to the right
",contract signed,the wind catcher,twirls to the right,en,3,4,4
"all night drive
the moon goes full
and past
",all night drive,the moon goes full,and past,en,3,4,2
"river eddy
the ripples of fish
catching twilight insects
",river eddy,the ripples of fish,catching twilight insects,en,4,5,6
"clown car . . .
nothing works
but the horn
",clown car . . .,nothing works,but the horn,en,2,3,3
"jamun tree . . .
the stains of summer
on my lips
",jamun tree . . .,the stains of summer,on my lips,en,3,5,3
"light pollution?
the fireflies flickering
out
",light pollution?,the fireflies flickering,out,en,4,7,1
"morning lights
an egret cluttering
yesterday's foot prints
",morning lights,an egret cluttering,yesterday's foot prints,en,3,6,5
"knee deep in heather
the purple scent
of summer
",knee deep in heather,the purple scent,of summer,en,5,4,3
"ear
of barley
crescent moon
",ear,of barley,crescent moon,en,1,3,3
"morning
a busy spider weaving
leaf to leaf
",morning,a busy spider weaving,leaf to leaf,en,2,7,3
"hovering
over summer clouds . . .
mom's lullaby
",hovering,over summer clouds . . .,mom's lullaby,en,"2,3",5,4
"still pond
a crooked coconut tree licks
its own image
",still pond,a crooked coconut tree licks,its own image,en,2,8,4
"undercurrents?
the snapping turtle
surfaces
",undercurrents?,the snapping turtle,surfaces,en,4,5,3
"deep noon
a squirrel chases a tree
shadow
",deep noon,a squirrel chases a tree,shadow,en,2,7,2
"washing day
sheets billow
shaping the breeze
",washing day,sheets billow,shaping the breeze,en,3,3,4
"midnight moon?
the violet of violets
almost black
",midnight moon?,the violet of violets,almost black,en,3,"8,6,7",3
"hotel ruin
a chime of finches
in the rafters
",hotel ruin,a chime of finches,in the rafters,en,4,5,4
"passing train
strobe light of the setting sun
on the hedges
",passing train,strobe light of the setting sun,on the hedges,en,3,7,4
"mountain haze
the remains of my dream
in fading blossoms
",mountain haze,the remains of my dream,in fading blossoms,en,3,6,5
"hangman?
the snapped branch
of the silver birch
",hangman?,the snapped branch,of the silver birch,en,2,3,5
"cyan lake . . .
a fishing net catches
the first light
",cyan lake . . .,a fishing net catches,the first light,en,3,6,3
"long drive
scent of fresh tea breaks
the mist
",long drive,scent of fresh tea breaks,the mist,en,2,5,2
"into the blue
a white swan
rising
",into the blue,a white swan,rising,en,4,3,2
"receding waters
the sea unseals
a thousand puddles
",receding waters,the sea unseals,a thousand puddles,en,5,4,5
"the slickness
of the otter's back?
night rain
",the slickness,of the otter's back?,night rain,en,3,5,2
"jasmine blossoms
the farmer returns with
fishy dreams
",jasmine blossoms,the farmer returns with,fishy dreams,en,4,6,3
"rippling
the breeze arrives
and retreats
",rippling,the breeze arrives,and retreats,en,"2,3",4,3
"falling mist
touching the spaces
between falling leaves
",falling mist,touching the spaces,between falling leaves,en,3,5,5
"from both sides
of the border
cockcrow
",from both sides,of the border,cockcrow,en,3,4,2
"c-section . . .
a lark hatchling beaks
the full moon
",c-section . . .,a lark hatchling beaks,the full moon,en,1,5,3
"new moon . . .
footprints circling
the winter apple
",new moon . . .,footprints circling,the winter apple,en,2,"4,5",5
"why should a fiddlehead
become a fern?
flower moon
",why should a fiddlehead,become a fern?,flower moon,en,6,4,3
"mid-winter
the heart of sweetbox
thru an open gate
",mid-winter,the heart of sweetbox,thru an open gate,en,1,5,5
"poolside palms
the play of shadows
all day long
",poolside palms,the play of shadows,all day long,en,3,5,3
"broken twigs
short end of wishbones
among the tombstones
",broken twigs,short end of wishbones,among the tombstones,en,3,5,5
"after the storm
the wind chimes
realigning
",after the storm,the wind chimes,realigning,en,4,3,4
"the hearse, the swamp
last year's frozen cat tails
","the hearse, the swamp",last year's frozen cat tails,,en,4,6,0
"first snow
from the jay's beak
a full moon rises
",first snow,from the jay's beak,a full moon rises,en,2,4,5
"courting cats
a pane of glass
between them
",courting cats,a pane of glass,between them,en,3,4,3
"out of the canyon
out of the blue
a flute
",out of the canyon,out of the blue,a flute,en,5,4,2
"paper boat
cradled by the sky,
cradling the sky
",paper boat,"cradled by the sky,",cradling the sky,en,3,5,"4,5"
"new moon?
the wolves howl
within themselves
",new moon?,the wolves howl,within themselves,en,2,3,4
"galahs
a deeper shade of pink
sunrise
",galahs,a deeper shade of pink,sunrise,en,2,6,2
"a pelican turns
dives and surfaces
crescent moon
",a pelican turns,dives and surfaces,crescent moon,en,5,5,3
"cedar waxwings
the next stop on our journey
",cedar waxwings,the next stop on our journey,,en,4,"8,7",0
"autumn afternoon
the cat's eyes follow
each falling leaf
",autumn afternoon,the cat's eyes follow,each falling leaf,en,5,5,4
"what if . . .
around the pig's snout
green butterflies
",what if . . .,around the pig's snout,green butterflies,en,2,5,4
"winter blessings
snowflakes
one by one
",winter blessings,snowflakes,one by one,en,4,2,3
"equinox sunrise
the wash folds itself
",equinox sunrise,the wash folds itself,,en,5,5,0
"lime cordial
the tinkle of ice
forty years ago
",lime cordial,the tinkle of ice,forty years ago,en,3,5,5
"warm breeze
caught on the grass
one dragonfly wing
",warm breeze,caught on the grass,one dragonfly wing,en,2,4,5
"autumn rain . . .
the birdbath fills
drop by drop
",autumn rain . . .,the birdbath fills,drop by drop,en,3,4,3
"old fire pit
moss grows
where there were songs
",old fire pit,moss grows,where there were songs,en,"3,4",2,4
"coffee shop
our family stories
darkly roasted
",coffee shop,our family stories,darkly roasted,en,3,"5,6,7",4
"outdoor patio
the hummingbird into
the flower tattoo
",outdoor patio,the hummingbird into,the flower tattoo,en,5,6,5
"first of october
clipping peppers
in the evening rain
",first of october,clipping peppers,in the evening rain,en,5,4,5
"rain shower
from the gutters:
crickets
",rain shower,from the gutters:,crickets,en,3,4,2
"soaking in mozart
a purple cactus flower
on the windowsill
",soaking in mozart,a purple cactus flower,on the windowsill,en,5,7,5
"winter kinglet
learning the yes and no
of each branch
",winter kinglet,learning the yes and no,of each branch,en,4,6,3
"draughty sill
the dead moth
back on its feet
",draughty sill,the dead moth,back on its feet,en,3,3,4
"a quiver
in the folk singer's voice . . .
dappled sunrise
",a quiver,in the folk singer's voice . . .,dappled sunrise,en,3,6,4
"mild winter
cloaking the creek
tundra swans
",mild winter,cloaking the creek,tundra swans,en,3,4,3
"sultry air
the marsh grass
overtakes the path
",sultry air,the marsh grass,overtakes the path,en,3,3,5
"drawing near?
the loon's call still sounds
from afar
",drawing near?,the loon's call still sounds,from afar,en,3,5,3
"it selects the m
to build its nest
walmart
",it selects the m,to build its nest,walmart,en,5,4,2
"roadside tree
ribbons streaming
from the bend
",roadside tree,ribbons streaming,from the bend,en,3,4,3
"thunder carry?
the long slow slope
to the valley
",thunder carry?,the long slow slope,to the valley,en,4,4,4
"fingers burning
i take my blues
higher
",fingers burning,i take my blues,higher,en,4,4,2
"morning walk
through an open window
",morning walk,through an open window,,en,3,6,0
"dead of winter
i was where i am
when the snow began
",dead of winter,i was where i am,when the snow began,en,4,"5,6",5
"last rays of sun?
crows suddenly
gold-winged
",last rays of sun?,crows suddenly,gold-winged,en,4,4,1
"her last year at
primary school
the wren's tail
",her last year at,primary school,the wren's tail,en,4,4,3
"shuttle-bus-driver
our daily conversation
about the lottery numbers
",shuttle-bus-driver,our daily conversation,about the lottery numbers,en,2,"8,7",8
"falling through
a metal net
city moon
",falling through,a metal net,city moon,en,3,4,3
"anniversary
of my father's death
leaves falling off a mountain
",anniversary,of my father's death,leaves falling off a mountain,en,5,5,7
"eventide?
crows find the last piece
of blue sky
",eventide?,crows find the last piece,of blue sky,en,3,5,3
"on the edge of town
an outfield
keeps on going
",on the edge of town,an outfield,keeps on going,en,5,3,4
"graduation day
cool breeze stirring
gowns and leaves
",graduation day,cool breeze stirring,gowns and leaves,en,5,4,3
"will pay anything
the medal collector
who missed the war
",will pay anything,the medal collector,who missed the war,en,5,6,4
"inlaws coming
the dog knows how
to play dead
",inlaws coming,the dog knows how,to play dead,en,4,4,3
"snow melt
the barn owl
glides across the moon
",snow melt,the barn owl,glides across the moon,en,2,3,5
"on the underbelly
of the falcon?
the dawn's pink light
",on the underbelly,of the falcon?,the dawn's pink light,en,6,4,4
"in the snow
footprints going away
her last gift
",in the snow,footprints going away,her last gift,en,3,6,3
"heat haze?
the call of doves
from the oaks
",heat haze?,the call of doves,from the oaks,en,2,4,3
"morning escapes
through newly empty air
acorns
",morning escapes,through newly empty air,acorns,en,4,6,2
"adrift
in a fishbowl . . .
stray moon
",adrift,in a fishbowl . . .,stray moon,en,2,4,2
"warm sand
we leave our impressions
behind
",warm sand,we leave our impressions,behind,en,2,"6,7",2
"dusk?
moths doze
on my window
",dusk?,moths doze,on my window,en,1,2,4
"clouds cling
to the mountain
stories you try to forget
",clouds cling,to the mountain,stories you try to forget,en,2,4,7
"cool nights
the morning glory's
delicate purple
",cool nights,the morning glory's,delicate purple,en,2,5,5
"fading in and out
of the overcast sky?
crescent moon
",fading in and out,of the overcast sky?,crescent moon,en,5,6,3
"day's end
my daughter asks
for the moon
",day's end,my daughter asks,for the moon,en,2,4,3
"red lobster?
her prying glance
through the mist
",red lobster?,her prying glance,through the mist,en,3,4,3
"dawn?
a sudden beating of wings
against my window
",dawn?,a sudden beating of wings,against my window,en,1,7,5
"october
what flowers are left
lie down
",october,what flowers are left,lie down,en,3,5,2
"thanksgiving
huddled on cold asphalt
gulls with no necks
",thanksgiving,huddled on cold asphalt,gulls with no necks,en,3,6,4
"urban rainbow?
the factory chimneys
glow gold
",urban rainbow?,the factory chimneys,glow gold,en,4,6,2
"low tide
a band of surfers
compare scars
",low tide,a band of surfers,compare scars,en,2,5,3
"late night special
the postman rings
a broken bell
",late night special,the postman rings,a broken bell,en,4,4,4
"florida spring?
the brown chameleon
turns green
",florida spring?,the brown chameleon,turns green,en,"4,5",6,2
"a gull drops a crab and
the heat
",a gull drops a crab and,the heat,,en,6,2,0
"watch repair
all the clocks still set
to standard time
",watch repair,all the clocks still set,to standard time,en,3,5,4
"summer rain
on the clothes line
down feathers
",summer rain,on the clothes line,down feathers,en,3,4,3
"old railway tunnel?
still hearing the sound
of birdsong
",old railway tunnel?,still hearing the sound,of birdsong,en,5,5,3
"hotel entrance
we re-examine
the stars
",hotel entrance,we re-examine,the stars,en,4,2,2
"monkey puzzle
trapped in the heart
of the garden maze
",monkey puzzle,trapped in the heart,of the garden maze,en,4,4,5
"a tiny branch . . .
the hummingbird keeps time
to summer rain
",a tiny branch . . .,the hummingbird keeps time,to summer rain,en,4,6,4
"pale sun flickers
across the buddha's face
pulse of crickets
",pale sun flickers,across the buddha's face,pulse of crickets,en,4,6,4
"the cry of a nightbird
how slowly a rose opens
in darkness
",the cry of a nightbird,how slowly a rose opens,in darkness,en,6,7,3
"trays of canap's
at the picnic?
crows
",trays of canap's,at the picnic?,crows,en,4,4,1
"long summer night?
pale through the fire
the rising sun
",long summer night?,pale through the fire,the rising sun,en,4,"4,5",4
"lamb's ear
the softness
of summer rain
",lamb's ear,the softness,of summer rain,en,2,3,4
"work day's end
the chimney smoke curls
between raindrops
",work day's end,the chimney smoke curls,between raindrops,en,3,5,4
"first day alone
coyote tracks
in the sand
",first day alone,coyote tracks,in the sand,en,4,"3,4",3
"last breath of fish
in the seagull's beak
broken sand dollars
",last breath of fish,in the seagull's beak,broken sand dollars,en,4,5,5
"frogs out-do
the church choir?
evensong
",frogs out-do,the church choir?,evensong,en,2,4,3
"lazy afternoon
the slow circles
of a redtail hawk
",lazy afternoon,the slow circles,of a redtail hawk,en,5,4,5
"family dinner
so many forms
of silence
",family dinner,so many forms,of silence,en,"4,5",4,3
"lightning flash
the dog's silhouette
also trembles
",lightning flash,the dog's silhouette,also trembles,en,3,5,4
"remembering
the costa rican sun
clink of ice cubes
",remembering,the costa rican sun,clink of ice cubes,en,"3,4",6,4
"at the burial
grief pauses
for the mockingbird
",at the burial,grief pauses,for the mockingbird,en,5,3,5
"table tennis
father and daughter
both win
",table tennis,father and daughter,both win,en,4,5,2
"live fish in the restaurant
we choose
tofu
",live fish in the restaurant,we choose,tofu,en,"6,7",2,2
"purple magnolias
lingering
twilight
",purple magnolias,lingering,twilight,en,5,"2,3",2
"class reunion
everyone else's
ring fingers
",class reunion,everyone else's,ring fingers,en,4,5,3
"this morning, autumn
in the husks
of sunflowers
","this morning, autumn",in the husks,of sunflowers,en,5,3,4
"frost sliding
on glass?
tri-focals
",frost sliding,on glass?,tri-focals,en,3,2,1
"arms flung wide
the laundry
surrenders to the wind
",arms flung wide,the laundry,surrenders to the wind,en,3,3,6
"sunset
the heron steps out
of his shadow
",sunset,the heron steps out,of his shadow,en,2,5,4
"the countdown
somebody else's
new year's kiss
",the countdown,somebody else's,new year's kiss,en,3,5,3
"waking
to the hum of the furnace
winter dawn
",waking,to the hum of the furnace,winter dawn,en,2,7,3
"haloed lights
in a snow-covered parking lot
hometown visit
",haloed lights,in a snow-covered parking lot,hometown visit,en,3,6,4
"an albatross dips
below the waves
gale force swell
",an albatross dips,below the waves,gale force swell,en,5,4,3
"knife wind
my white breath
stolen
",knife wind,my white breath,stolen,en,2,3,2
"beside the graveyard
train parked
on the tracks
",beside the graveyard,train parked,on the tracks,en,5,2,3
"spring melt
a sheet of snow
punched with crocuses
",spring melt,a sheet of snow,punched with crocuses,en,"2,3",4,5
"mid-summer storm . . .
a herd of dairy cows
huddle together
",mid-summer storm . . .,a herd of dairy cows,huddle together,en,2,6,5
"cherry smoke
on the mantel nail
her white dress
",cherry smoke,on the mantel nail,her white dress,en,3,5,3
"day drizzle
scrubbing the rainbow
inside the pot
",day drizzle,scrubbing the rainbow,inside the pot,en,3,5,4
"first warm day
the melancholy face
of the tv dials
",first warm day,the melancholy face,of the tv dials,en,3,6,"8,5,6,7"
"ripening sky
another slow turn
of the cider press
",ripening sky,another slow turn,of the cider press,en,"3,4",5,5
"ki
3... 2... 1... 2012!
ss
",ki,3... 2... 1... 2012!,ss,en,1,17,2
"moving day . . .
inside this matchbox
a cicada shell
",moving day . . .,inside this matchbox,a cicada shell,en,3,5,5
"autumn sunset
in the brown field
a red tractor
",autumn sunset,in the brown field,a red tractor,en,4,4,4
"morning haze
the voice from the dash
relocating
",morning haze,the voice from the dash,relocating,en,3,5,4
"friday's dusk
he brings home
dark chocolate
",friday's dusk,he brings home,dark chocolate,en,3,3,3
"thunder
the stray dog
bolts
",thunder,the stray dog,bolts,en,2,3,1
"this winter night
slowly unfolding
first star
",this winter night,slowly unfolding,first star,en,4,5,2
"deep autumn
the half-naked birch
fully yellow
",deep autumn,the half-naked birch,fully yellow,en,3,3,4
"overcast day
the lamp posts
filled with snow
",overcast day,the lamp posts,filled with snow,en,4,3,3
"condolences
i choose the card
without words
",condolences,i choose the card,without words,en,4,4,3
"yet another bug
buzzes the zapper
whiskey moon
",yet another bug,buzzes the zapper,whiskey moon,en,5,5,3
"morning fog
the distance
between boat and shore
",morning fog,the distance,between boat and shore,en,3,3,5
"drizzly field
the rattle of a tractor
wades in the fog
",drizzly field,the rattle of a tractor,wades in the fog,en,3,7,4
"cutting
the last rose stem . . .
woodsmoke
",cutting,the last rose stem . . .,woodsmoke,en,2,4,2
"purple lightning
irises
in bloom
",purple lightning,irises,in bloom,en,4,3,2
"the fat cat
sits halfway home
squash blossoms
",the fat cat,sits halfway home,squash blossoms,en,3,4,3
"pine slabs
dovetailing together
carpenter's hands
",pine slabs,dovetailing together,carpenter's hands,en,2,6,4
"switchback . . .
alpine aster
all in bloom
",switchback . . .,alpine aster,all in bloom,en,2,4,3
"cold snap
the sharp bite
of a radish
",cold snap,the sharp bite,of a radish,en,2,3,4
"sparsh-swars
from the sitar . . .
jasmine breeze
",sparsh-swars,from the sitar . . .,jasmine breeze,en,1,4,3
"flea market . . .
a monkey's paw
under glass
",flea market . . .,a monkey's paw,under glass,en,3,4,3
"stormlight
the magnolia
bursts into flower
",stormlight,the magnolia,bursts into flower,en,2,4,5
"alone at dusk
waiting for the company
of fireflies
",alone at dusk,waiting for the company,of fireflies,en,4,7,4
"spring rain
the lips and throat
of the iris
",spring rain,the lips and throat,of the iris,en,"2,3",4,4
"lingering
in my sleeping bag
campfire smoke
",lingering,in my sleeping bag,campfire smoke,en,"2,3",5,4
"autumn weeds . . .
the orb spinner's
warp and weft
",autumn weeds . . .,the orb spinner's,warp and weft,en,3,4,3
"unfolding
a field map of summer . . .
butterfly
",unfolding,a field map of summer . . .,butterfly,en,3,6,3
"pushing her lips together
to form the sound?
frogs
",pushing her lips together,to form the sound?,frogs,en,7,4,1
"afternoon stillness?
my neighbor's chimes
announce the breeze
",afternoon stillness?,my neighbor's chimes,announce the breeze,en,5,4,4
"night rain
the fainter sound
of the ocean
",night rain,the fainter sound,of the ocean,en,2,4,4
"hazy sunset
the weight
of a ripe peach
",hazy sunset,the weight,of a ripe peach,en,4,2,4
"first crush . . .
apple branches
nearly touching
",first crush . . .,apple branches,nearly touching,en,2,4,4
"butterfly house
we're all
six again
",butterfly house,we're all,six again,en,4,2,3
"open atlas
the continental drift
of clouds
",open atlas,the continental drift,of clouds,en,4,6,2
"lightning-split oak?
what would i be
in another time?
",lightning-split oak?,what would i be,in another time?,en,3,4,5
"left-over snow
in the juniper's shadow
an old suet cage
",left-over snow,in the juniper's shadow,an old suet cage,en,2,7,5
"white sky
a cloud of blackbirds
erupts from an oak
",white sky,a cloud of blackbirds,erupts from an oak,en,2,5,5
"milky way . . .
the way the cow path
rings a hill
",milky way . . .,the way the cow path,rings a hill,en,3,5,3
"the arch
of her foot . . .
feather shedding moon
",the arch,of her foot . . .,feather shedding moon,en,2,3,5
"record heat?
a song thrush beats
against the tomato cage
",record heat?,a song thrush beats,against the tomato cage,en,3,4,7
"short-cut home
weaving my shadow
through storm-toppled trees
",short-cut home,weaving my shadow,through storm-toppled trees,en,2,5,3
"humming fridge?
the quiet thoughts
of a robot
",humming fridge?,the quiet thoughts,of a robot,en,3,4,4
"easter morning
a rapture of hawks squalls
beyond the scud
",easter morning,a rapture of hawks squalls,beyond the scud,en,4,6,4
"monsoon
grackle stepping
through raindrops
",monsoon,grackle stepping,through raindrops,en,2,4,3
"apologies?
cutting the bruise
from the apple
",apologies?,cutting the bruise,from the apple,en,4,4,4
"icy wind
a shiver
in the blackbird's song
",icy wind,a shiver,in the blackbird's song,en,3,3,5
"halloween
witches on brooms
come up the escalator
",halloween,witches on brooms,come up the escalator,en,3,4,7
"woodland
the silence
of history
",woodland,the silence,of history,en,2,3,"3,4"
"weeping willow
her golden hair
once blew that way
",weeping willow,her golden hair,once blew that way,en,4,4,4
"autumn winds
campaign signs
shifting positions
",autumn winds,campaign signs,shifting positions,en,3,3,5
"his oil paintings
so unlike mine?
passion fruit
",his oil paintings,so unlike mine?,passion fruit,en,4,4,3
"swaths of grass
curl across the yard . . .
first snowman
",swaths of grass,curl across the yard . . .,first snowman,en,3,5,3
"sleet
the wind-chime's
unfamiliar tune
",sleet,the wind-chime's,unfamiliar tune,en,1,2,5
"50 years slip away
lacing up
old skates
",50 years slip away,lacing up,old skates,en,6,3,2
"medieval city
a construction crane
touches the sky
",medieval city,a construction crane,touches the sky,en,5,5,4
"new home
another child's handprints
in the driveway
",new home,another child's handprints,in the driveway,en,2,6,4
"branch by branch
a squirrel climbs
the oak's shadow
",branch by branch,a squirrel climbs,the oak's shadow,en,3,4,4
"outdoor artist
the color of the dog
beside him
",outdoor artist,the color of the dog,beside him,en,4,6,3
"morning frost
lifting white socks higher
the neighbour's cat
",morning frost,lifting white socks higher,the neighbour's cat,en,3,6,4
"summer dusk
the sound of high heels
from the backyard
",summer dusk,the sound of high heels,from the backyard,en,3,5,4
"december dusk
i will never visit
my grandparents' birthplace
",december dusk,i will never visit,my grandparents' birthplace,en,4,6,6
"sunrise
performing what i imagine
tai chi to be
",sunrise,performing what i imagine,tai chi to be,en,2,8,4
"not getting the whole story?
this ladybug
on my page
",not getting the whole story?,this ladybug,on my page,en,7,4,3
"carrying on
as if nothing had happened
dogwood in bloom
",carrying on,as if nothing had happened,dogwood in bloom,en,4,7,4
"morning frost
invitation to a white
wedding
",morning frost,invitation to a white,wedding,en,3,7,2
"hot afternoon
the shoe seller kicks a butt
into the canal
",hot afternoon,the shoe seller kicks a butt,into the canal,en,4,7,5
"pebbled beach
no sound skips
into the new year
",pebbled beach,no sound skips,into the new year,en,3,3,5
"starry night
pills snug
in their bottle
",starry night,pills snug,in their bottle,en,3,2,4
"twilight?
the scent of clover
in her hair
",twilight?,the scent of clover,in her hair,en,2,5,3
"mountain overlook?
we speak
in whispers
",mountain overlook?,we speak,in whispers,en,5,2,3
"tall ships
the rifted sky
closes . . . opens
",tall ships,the rifted sky,closes . . . opens,en,2,4,4
"in the shade
of a towering oak
acorns dropping
",in the shade,of a towering oak,acorns dropping,en,3,"5,6",4
"a grackle not as black
as the memory of
grackles
",a grackle not as black,as the memory of,grackles,en,6,6,2
"a river of corn lilies
divides the meadow
yellow butterfly
",a river of corn lilies,divides the meadow,yellow butterfly,en,7,5,5
"high tide
the taste of salt
on your lips
",high tide,the taste of salt,on your lips,en,2,4,3
"under the voices
of summer birds
raven
",under the voices,of summer birds,raven,en,5,4,2
"muggy sunrise
the brown spider crawling
up the web
",muggy sunrise,the brown spider crawling,up the web,en,4,6,3
"green shoots
in the cherry tree's shade
last year's cherries
",green shoots,in the cherry tree's shade,last year's cherries,en,2,6,4
"on ash wednesday again
my grandmother's lilac perfume
",on ash wednesday again,my grandmother's lilac perfume,,en,6,8,0
"midsummer quiet
the cascading shades
of mountain ridges
",midsummer quiet,the cascading shades,of mountain ridges,en,5,5,5
"a gap
in the leaf shadows
summer moon
",a gap,in the leaf shadows,summer moon,en,2,5,3
"one tree without buds
last year's
empty nest
",one tree without buds,last year's,empty nest,en,5,2,3
"crescent moon
my old knees
creak up the stairs
",crescent moon,my old knees,creak up the stairs,en,3,3,4
"another
dead camera battery
fading peonies
",another,dead camera battery,fading peonies,en,3,"6,7",5
"his urn finally arrives
a careful breeze in the palms
",his urn finally arrives,a careful breeze in the palms,,en,7,7,0
"morning heat
a swallowtail drifts
into the blue
",morning heat,a swallowtail drifts,into the blue,en,3,5,4
"cherry bush
drooping with fruit
sparrows and finches
",cherry bush,drooping with fruit,sparrows and finches,en,3,4,5
"one vanilla scoop
moon rising over the
brooklyn bridge
",one vanilla scoop,moon rising over the,brooklyn bridge,en,5,6,3
"winter slump?
wearing out the fabric
of my easy chair
",winter slump?,wearing out the fabric,of my easy chair,en,3,6,5
"framed
in the kitchen window
venus rising
",framed,in the kitchen window,venus rising,en,1,6,4
"easter incense
the prayers i never learned
in latin
",easter incense,the prayers i never learned,in latin,en,4,"8,6,7",3
"shoveling snow . . .
a wind gust halos
the street light
",shoveling snow . . .,a wind gust halos,the street light,en,3,5,3
"one white sail
on the horizon
silence between waves
",one white sail,on the horizon,silence between waves,en,3,5,5
"tracing the fades
of the spring river
the wagtail's tail
",tracing the fades,of the spring river,the wagtail's tail,en,4,"5,6",4
"sundown
the slap
of a beaver's tail
",sundown,the slap,of a beaver's tail,en,2,2,5
"clouds racing
a sundog
disappears
",clouds racing,a sundog,disappears,en,3,3,3
"iris garden
the sisters pose
in purple dresses
",iris garden,the sisters pose,in purple dresses,en,4,4,5
"hangover . . .
an empty beercan
fills with rain
",hangover . . .,an empty beercan,fills with rain,en,3,6,3
"in the bird's nest
my lost bracelet
",in the bird's nest,my lost bracelet,,en,4,4,0
"bus stop
the conversation takes
a strange turn
",bus stop,the conversation takes,a strange turn,en,2,6,3
"the fireworks
the constellations
summer heat
",the fireworks,the constellations,summer heat,en,3,5,3
"the weight
of late sunlight
peach boughs
",the weight,of late sunlight,peach boughs,en,2,4,2
"father's day
picking up
the same broken shells
",father's day,picking up,the same broken shells,en,3,3,5
"power failure
watching the moon
instead of tv
",power failure,watching the moon,instead of tv,en,4,4,"5,7"
"outside goodwill
a new pair of old jeans
and the blue sky
",outside goodwill,a new pair of old jeans,and the blue sky,en,4,6,4
"balancing
on a blade of grass
nightfall
",balancing,on a blade of grass,nightfall,en,3,5,2
"january . . .
cat turns on
the electric blanket
",january . . .,cat turns on,the electric blanket,en,4,3,6
"evening fog
the crack of a home run
from the ball park
",evening fog,the crack of a home run,from the ball park,en,3,6,4
"main street
a sign points the way
to the cemetery
",main street,a sign points the way,to the cemetery,en,2,5,6
