haiku,0,1,2,lang,0_syllables,1_syllables,2_syllables
"oh my god please don't tell me i failed
please lord just give me another chance
i promise i won't let you down",oh my god please don't tell me i failed,please lord just give me another chance,i promise i won't let you down,en,9,9,8
"it happened in an instant like a flash of light
a burning deep within me like a shooting star or a crashing flight
like icarus before his demise",it happened in an instant like a flash of light,a burning deep within me like a shooting star or a crashing flight,like icarus before his demise,en,12,17,9
"a never-ending supply
of food perhaps
asked god",a never-ending supply,of food perhaps,asked god,en,5,4,2
"no no
i said
and prayed and prayed",no no,i said,and prayed and prayed,en,2,2,4
"shall i offered god
remove all suffering
from the world",shall i offered god,remove all suffering,from the world,en,5,"5,6",3
"no i said
the world's already used to it
and i prayed and prayed",no i said,the world's already used to it,and i prayed and prayed,en,3,8,5
"look you must tell me
what you want
said god now appearing a little irritated",look you must tell me,what you want,said god now appearing a little irritated,en,5,3,13
"oh well if you insist
i said
i want your job",oh well if you insist,i said,i want your job,en,6,2,4
"how seldom do we talk to god enquire his plan
why waste moments in planning the future
when all to be done is bow our head",how seldom do we talk to god enquire his plan,why waste moments in planning the future,when all to be done is bow our head,en,13,10,"9,10"
"yup you're not here for me
and i concede i'll never have
the pieces that you need",yup you're not here for me,and i concede i'll never have,the pieces that you need,en,6,8,6
"before i leave the stage
i will sing the only song
i was meant truly to sing",before i leave the stage,i will sing the only song,i was meant truly to sing,en,6,7,7
"i live my lie
'cause if the theory's true
love damned can't die",i live my lie,'cause if the theory's true,love damned can't die,en,4,"6,7",4
"one last package sits lone at midnight sticking up out
of the coast rack high as the dusty fluorescent
light",one last package sits lone at midnight sticking up out,of the coast rack high as the dusty fluorescent,light,en,13,12,1
"let my hand touch yours
let me warm it if it's cold
my last warmth shall not be wasted",let my hand touch yours,let me warm it if it's cold,my last warmth shall not be wasted,en,5,7,8
"it's not in the best interest
of a germ like hiv or you
to kill its host",it's not in the best interest,of a germ like hiv or you,to kill its host,en,"8,7",9,4
"it`s not the end of the road
it`s the beginning of a new highway
the `highway to a destination called `success",it`s not the end of the road,it`s the beginning of a new highway,the `highway to a destination called `success,en,7,10,8
"these feet have worked farmland
drawing wheat grains from sand grains
and now they walk to the supermarket each week",these feet have worked farmland,drawing wheat grains from sand grains,and now they walk to the supermarket each week,en,6,7,12
"i have locked myself in here
why don't i go out there
don't i hold my freedom dear",i have locked myself in here,why don't i go out there,don't i hold my freedom dear,en,7,6,7
"so i sneak out clandestinely
to make my first move towards my family
but what i see is the absence of love compassion warmth and humility",so i sneak out clandestinely,to make my first move towards my family,but what i see is the absence of love compassion warmth and humility,en,8,"9,10,11",19
"i found out my way through somehow
and came across a blood-soaked dove
she said this is the worth of peace my love",i found out my way through somehow,and came across a blood-soaked dove,she said this is the worth of peace my love,en,8,7,10
"on my journey ahead
for more frightening will face me: the thought filled me with dread
though my hunger for knowledge",on my journey ahead,for more frightening will face me: the thought filled me with dread,though my hunger for knowledge,en,6,"13,14",7
"you give me an apartment full of morning smells toasted bagel and black
coffee and the freckled lilies in the vase on the windowsill
you give me -across",you give me an apartment full of morning smells toasted bagel and black,coffee and the freckled lilies in the vase on the windowsill,you give me -across,en,18,16,3
"farewell
to
- nelson mandela",farewell,to,- nelson mandela,en,2,1,5
"i wonder whom i should call
a plumber
proctologist urologist or priest",i wonder whom i should call,a plumber,proctologist urologist or priest,en,7,3,10
"how dare he leave me
lost alone
i cried",how dare he leave me,lost alone,i cried,en,5,3,2
"a death isn't always
a death it's birth of a new
memory instead",a death isn't always,a death it's birth of a new,memory instead,en,6,7,5
"promise made to self
time to began again
a new year's positive change",promise made to self,time to began again,a new year's positive change,en,5,6,7
"fall foliage
the colors are great
for economic growth",fall foliage,the colors are great,for economic growth,en,"3,4",5,6
"orgies are best left
to the hobbits elves and dwarfs
imaginary",orgies are best left,to the hobbits elves and dwarfs,imaginary,en,5,7,5
"seems to me that
your hair is clean
winds can't compete",seems to me that,your hair is clean,winds can't compete,en,4,4,4
") my friend
my companion
my love to the end",) my friend,my companion,my love to the end,en,2,4,5
") be kind
be true
love will find you",) be kind,be true,love will find you,en,2,2,4
") forgive much
steadfastly live
happiness will come",) forgive much,steadfastly live,happiness will come,en,3,4,5
") a changing world
daily routine
keeps us rounded",) a changing world,daily routine,keeps us rounded,en,4,4,"4,5"
"kiss me back to home
if my attempt to escape
makes me a forlorn",kiss me back to home,if my attempt to escape,makes me a forlorn,en,5,7,5
"life's down side
freezes you in motion
care of self you'll fly again",life's down side,freezes you in motion,care of self you'll fly again,en,3,6,7
"leaves all gone now
flowers in their bed now
except the every green holding on",leaves all gone now,flowers in their bed now,except the every green holding on,en,4,6,"9,10"
"green economics
a man dressed in green rides the
bear financial bull",green economics,a man dressed in green rides the,bear financial bull,en,5,7,5
"painting the glow
in the green of forest
unseen fingers",painting the glow,in the green of forest,unseen fingers,en,4,6,4
"snowing
through the blizzard
particles of me",snowing,through the blizzard,particles of me,en,2,4,5
"drinking my tea
without sugar
no difference",drinking my tea,without sugar,no difference,en,4,4,"3,4"
"looking over my shoulder
my behind was covered
with cherry blossoms",looking over my shoulder,my behind was covered,with cherry blossoms,en,7,6,5
"i slapped the mosquito
and missed
what made me do that",i slapped the mosquito,and missed,what made me do that,en,6,2,5
"reading haiku
i am unhappy
longing for the nameless",reading haiku,i am unhappy,longing for the nameless,en,4,"5,6",6
"a frog floating
in the drugstore jar
summer rain on grey pavements",a frog floating,in the drugstore jar,summer rain on grey pavements,en,4,5,7
"on the porch
in my shorts
auto lights in the rain",on the porch,in my shorts,auto lights in the rain,en,3,3,6
"another year
has past-the world
is no different",another year,has past-the world,is no different,en,4,3,"4,5"
"the first thing i looked for
in my old garden was
the cherry tree",the first thing i looked for,in my old garden was,the cherry tree,en,6,6,4
"my old desk
the first thing i looked for
in my house",my old desk,the first thing i looked for,in my house,en,3,6,3
"my early journal
the first thing i found
in my old desk",my early journal,the first thing i found,in my old desk,en,5,5,4
"my mother's ghost
the first thing i found
in the living room",my mother's ghost,the first thing i found,in the living room,en,4,5,5
"i quit shaving
but the eyes that glanced at me
remained in the mirror",i quit shaving,but the eyes that glanced at me,remained in the mirror,en,4,7,6
"the madman
emerges from the movies
the street at lunchtime",the madman,emerges from the movies,the street at lunchtime,en,3,7,5
"cities of boys
are in their graves
and in this town",cities of boys,are in their graves,and in this town,en,4,4,4
"lying on my side
in the void
the breath in my nose",lying on my side,in the void,the breath in my nose,en,5,3,5
"on the fifteenth floor
the dog chews a bone
screech of taxicabs",on the fifteenth floor,the dog chews a bone,screech of taxicabs,en,5,5,5
"the moon over the roof
worms in the garden
i rent this house",the moon over the roof,worms in the garden,i rent this house,en,6,5,4
"rough stone smooth stone - both
born from the same mountain - but
one has suffered much",rough stone smooth stone - both,born from the same mountain - but,one has suffered much,en,5,7,5
"ere swallows dare come
march's ranging breezes stir
dancing daffodils",ere swallows dare come,march's ranging breezes stir,dancing daffodils,en,5,7,5
"bus in motion-and
the passengers suddenly
sing oh canada",bus in motion-and,the passengers suddenly,sing oh canada,en,4,7,5
"hey indian boy why did you slice off your braids
do you grieve their loss
have you thought twice about your braids",hey indian boy why did you slice off your braids,do you grieve their loss,have you thought twice about your braids,en,12,5,8
"are you warrior-pretend
are you horseback-never
was your drum-less drum-less life disguised by your braids",are you warrior-pretend,are you horseback-never,was your drum-less drum-less life disguised by your braids,en,"4,5",4,10
"did you cut your hair after your sister's funeral
was it self-flagellation
did you chastise your braids",did you cut your hair after your sister's funeral,was it self-flagellation,did you chastise your braids,en,13,3,6
"hey indian boy why did you slice off your braids
was it a violent act
did you despise your braids",hey indian boy why did you slice off your braids,was it a violent act,did you despise your braids,en,12,"6,7",6
"i would buy it beg it steal it
pay in coins of dripping blood
for this one transcendent good",i would buy it beg it steal it,pay in coins of dripping blood,for this one transcendent good,en,8,7,7
"i sit taller
daring to stare back into slate blue eyes
that see only color and shapes",i sit taller,daring to stare back into slate blue eyes,that see only color and shapes,en,4,10,8
"angrily i shout at the anger that is all around
bred in anger
kicking and screaming to hell we seem bound",angrily i shout at the anger that is all around,bred in anger,kicking and screaming to hell we seem bound,en,14,4,10
"to say dive deep
into the square event
hunter green and moss",to say dive deep,into the square event,hunter green and moss,en,4,6,5
"next i expect to hear
the queen is dead
the king's been checked",next i expect to hear,the queen is dead,the king's been checked,en,6,4,4
"in their green and yellow dress
home they came in white body bags
in heavy coffins with name tags",in their green and yellow dress,home they came in white body bags,in heavy coffins with name tags,en,7,8,8
"but many resented the pogrom
people watched in horror
the roundup they cried silently behind their curtains",but many resented the pogrom,people watched in horror,the roundup they cried silently behind their curtains,en,9,6,13
"three voices [together
the proud and careless notes live on
but bless our hands that ebb away",three voices [together,the proud and careless notes live on,but bless our hands that ebb away,en,3,8,"8,9"
"come my love my lover my friend
our happiness is our perpetual end
the infinite our delight",come my love my lover my friend,our happiness is our perpetual end,the infinite our delight,en,8,"11,12,13","8,7"
"the people braced for the answer nothing the atheist said after a pause
he was ecstatic
the people were more than a little disheartened",the people braced for the answer nothing the atheist said after a pause,he was ecstatic,the people were more than a little disheartened,en,19,5,12
"what are we going to do
the people asked starting to riot
they started to push and shove",what are we going to do,the people asked starting to riot,they started to push and shove,en,7,9,7
"she's gathered up all the time in the world
-nothing else-and waits for scanty trophies
complete in herself as a heron",she's gathered up all the time in the world,-nothing else-and waits for scanty trophies,complete in herself as a heron,en,10,7,9
"what could it be using for ink i wondered
and opened my window to yell
what are you using for ink",what could it be using for ink i wondered,and opened my window to yell,what are you using for ink,en,11,8,7
"as his one eye sees nothing not
even the oddly stained floor
i wonder if he thinks",as his one eye sees nothing not,even the oddly stained floor,i wonder if he thinks,en,8,7,6
"and couldn't move
otherwise
through the void",and couldn't move,otherwise,through the void,en,4,3,3
"a single vessel waited shadowy
all night she ploughed her solitary way
beneath the stars and through a tranquil sea",a single vessel waited shadowy,all night she ploughed her solitary way,beneath the stars and through a tranquil sea,en,10,10,10
"exile is a twofold problem
no one eludes it and
mourned land disappears",exile is a twofold problem,no one eludes it and,mourned land disappears,en,8,6,5
"we need the assassins
to exonerate what we do
to make it seem less awful",we need the assassins,to exonerate what we do,to make it seem less awful,en,6,8,7
"hasan ibn al-sabah lives
in our churches on sunday
in mosques and synagogues",hasan ibn al-sabah lives,in our churches on sunday,in mosques and synagogues,en,6,"8,7",6
"we can't describe his face
because we wear it while
we hunt the foreign devils",we can't describe his face,because we wear it while,we hunt the foreign devils,en,6,6,7
"radiant highways whose vistas gleam
leading me on under crimson leaves
to the opaline gates of the castles of dream",radiant highways whose vistas gleam,leading me on under crimson leaves,to the opaline gates of the castles of dream,en,"8,9",9,12
"lazy saturday mornings with nothing to do
breakfast in pajamas
classic cartoons play on the tube",lazy saturday mornings with nothing to do,breakfast in pajamas,classic cartoons play on the tube,en,12,6,8
"freshly baked bread wafts in the air
eggs and bacon as well
all enjoy it best ever they all declare",freshly baked bread wafts in the air,eggs and bacon as well,all enjoy it best ever they all declare,en,8,6,11
"nice fresh fruit ripe and sweet
so many to choose
nature's goodness their nectar a treat",nice fresh fruit ripe and sweet,so many to choose,nature's goodness their nectar a treat,en,6,5,9
"jelly beans marshmallows and lots of sweets
chocolate covered as well
so many good things so many tasty treats",jelly beans marshmallows and lots of sweets,chocolate covered as well,so many good things so many tasty treats,en,10,6,11
"kids eating cotton candy with balloons tied to strings
red blue white yellow and green
released all at once a spectacle in the sky it brings",kids eating cotton candy with balloons tied to strings,red blue white yellow and green,released all at once a spectacle in the sky it brings,en,13,7,14
"dolphins swimming and jumping in the sea
from the park they can be seen
look at them jump children claim with such glee",dolphins swimming and jumping in the sea,from the park they can be seen,look at them jump children claim with such glee,en,10,7,10
"kids swimming and jumping in the park pool
playing marco polo
everyone has so much fun everyone keeps cool",kids swimming and jumping in the park pool,playing marco polo,everyone has so much fun everyone keeps cool,en,10,6,12
"all are sharing lots of giving going around
no tempers or angry shouts
laughter fills the air tis the only sound",all are sharing lots of giving going around,no tempers or angry shouts,laughter fills the air tis the only sound,en,12,7,10
"amusement parks rides are plenty
no lines there are
happy people they are everyone so friendly",amusement parks rides are plenty,no lines there are,happy people they are everyone so friendly,en,8,4,12
"sleeping children on their daddies' shoulders
too much fun they have had
some safely asleep tucked away in their baby strollers",sleeping children on their daddies' shoulders,too much fun they have had,some safely asleep tucked away in their baby strollers,en,10,6,14
"for me you don't have any space
remembering your innocent kisses
i want one kiss on my wrinkled face",for me you don't have any space,remembering your innocent kisses,i want one kiss on my wrinkled face,en,8,"9,10",9
"i come home
after a hard day's work
and my house opens its doors to me",i come home,after a hard day's work,and my house opens its doors to me,en,3,6,9
"the stove makes me a cup of tea
while the answering machine
tells me all about its day",the stove makes me a cup of tea,while the answering machine,tells me all about its day,en,8,7,7
"my windows close their eyes
the cd player begins a serenade
and my curtains invite me to dance",my windows close their eyes,the cd player begins a serenade,and my curtains invite me to dance,en,6,11,9
"for everything to last long it has to be well maintained
this indicates that if everything becomes damaged or broken down it ought to be corrected as quickly as possible
in shorts repair and maintenance of items makes them last longer and also serve the owners better",for everything to last long it has to be well maintained,this indicates that if everything becomes damaged or broken down it ought to be corrected as quickly as possible,in shorts repair and maintenance of items makes them last longer and also serve the owners better,en,14,31,"24,25"
"the climb so high you lose all hope
hands burn clutching the faiths rope
you ask your soul is this my doom",the climb so high you lose all hope,hands burn clutching the faiths rope,you ask your soul is this my doom,en,8,7,8
"come you preservers
angels of the year
and you",come you preservers,angels of the year,and you,en,5,5,2
"someone is trying to make music somewhere
with a pair of wooden spoons on an oil drum
with cello boom box harmonica voice",someone is trying to make music somewhere,with a pair of wooden spoons on an oil drum,with cello boom box harmonica voice,en,"10,11",11,10
"we encounter each other in words words
spiny or smooth whispered or declaimed
words to consider reconsider",we encounter each other in words words,spiny or smooth whispered or declaimed,words to consider reconsider,en,10,9,9
"we cross dirt roads and highways that mark
the will of some one and then others who said
i need to see what's on the other side",we cross dirt roads and highways that mark,the will of some one and then others who said,i need to see what's on the other side,en,9,11,10
"i know there's something better down the road
we need to find a place where we are safe
we walk into that which we cannot yet see",i know there's something better down the road,we need to find a place where we are safe,we walk into that which we cannot yet see,en,10,10,11
"praise song for struggle praise song for the day
praise song for every hand-lettered sign
the figuring-it-out at kitchen tables",praise song for struggle praise song for the day,praise song for every hand-lettered sign,the figuring-it-out at kitchen tables,en,10,"8,7",9
"love beyond marital filial national
love that casts a widening pool of light
love with no need to pre-empt grievance",love beyond marital filial national,love that casts a widening pool of light,love with no need to pre-empt grievance,en,"11,12",10,8
"i know not where
i know not when
but i have decided to live life till then",i know not where,i know not when,but i have decided to live life till then,en,4,4,11
"i lost my mother more than two decades ago
today on her birthday i spontaneously composed this poem
it's not just for my parents its for all those who love someone dearly",i lost my mother more than two decades ago,today on her birthday i spontaneously composed this poem,it's not just for my parents its for all those who love someone dearly,en,12,17,17
"a broken leaf can linger in a limbo
if these non-livings can change the mighty morsels
then why don't we",a broken leaf can linger in a limbo,if these non-livings can change the mighty morsels,then why don't we,en,11,10,4
"hope is the life we breathe tomorrow
and the paths we tread every year
hope is the inflation of our ballooned hearts",hope is the life we breathe tomorrow,and the paths we tread every year,hope is the inflation of our ballooned hearts,en,9,"8,9","11,12"
"it's lunch time on a busy work day
and i'm at the happy burger shack
waiting to place my order to go",it's lunch time on a busy work day,and i'm at the happy burger shack,waiting to place my order to go,en,9,9,9
"comes a black man scarecrow thin
his jeans slung lowdown and dirty
an acre of underwear in evidence",comes a black man scarecrow thin,his jeans slung lowdown and dirty,an acre of underwear in evidence,en,7,8,11
"thug
he flops down in the first shade available
and sets his lunch sack on the curbside",thug,he flops down in the first shade available,and sets his lunch sack on the curbside,en,1,11,9
"espiritu santo
then smiles and wishes me blessings
as i drive away with my order",espiritu santo,then smiles and wishes me blessings,as i drive away with my order,en,6,8,9
"why
why
why must i ask why",why,why,why must i ask why,en,1,1,5
"they back away from the bear
the bear stirs and shakes off the dream
but the dream won't shake",they back away from the bear,the bear stirs and shakes off the dream,but the dream won't shake,en,7,8,5
"as i lie in my bed
the flute-notes push against my ears and lips
and i go to sleep dreaming",as i lie in my bed,the flute-notes push against my ears and lips,and i go to sleep dreaming,en,6,9,7
"i was aware my room was lived-in
my cigarette wasting in an arc of ash i rescued
my opened book advanced a page or two",i was aware my room was lived-in,my cigarette wasting in an arc of ash i rescued,my opened book advanced a page or two,en,8,14,10
"yet he seems to be saying
how free i am
mocking my ways as sham",yet he seems to be saying,how free i am,mocking my ways as sham,en,7,"4,5",6
"don't feel sorry for me
i am a competent
satisfied human being",don't feel sorry for me,i am a competent,satisfied human being,en,6,"6,7",7
"and thus did i save the earth
though i wish at least those aliens
had left me some presents for my trouble",and thus did i save the earth,though i wish at least those aliens,had left me some presents for my trouble,en,7,9,10
"means a little bit more
and what happened then
well",means a little bit more,and what happened then,well,en,6,5,1
"the silver-blue moonlight makes the geraniums purple
and the roof glitters
like ice",the silver-blue moonlight makes the geraniums purple,and the roof glitters,like ice,en,13,5,2
"the silver-blue moonlight makes the geraniums purple
and the roof shines
like ice",the silver-blue moonlight makes the geraniums purple,and the roof shines,like ice,en,13,4,2
"oh well let's go on eating the grains of eternity
what do we care about improvements in travel
angels sometimes cross the river on old turtles",oh well let's go on eating the grains of eternity,what do we care about improvements in travel,angels sometimes cross the river on old turtles,en,14,12,12
"shall we worry about who gets left behind
that one bird flying through the clouds is enough
your sweet face at the door of the house is enough",shall we worry about who gets left behind,that one bird flying through the clouds is enough,your sweet face at the door of the house is enough,en,11,11,12
"the two farm horses stubbornly pull the wagon
the mad crows carry away the tablecloth
most of the time we live through the night",the two farm horses stubbornly pull the wagon,the mad crows carry away the tablecloth,most of the time we live through the night,en,12,11,9
"let's not drive the wild angels from our door
maybe the mad fields of grain will move
maybe the troubled rocks will learn to walk",let's not drive the wild angels from our door,maybe the mad fields of grain will move,maybe the troubled rocks will learn to walk,en,"10,11",9,10
"it's all right if we're troubled by the night
it's all right if we can't recall our own name
it's all right if this rough music keeps on playing",it's all right if we're troubled by the night,it's all right if we can't recall our own name,it's all right if this rough music keeps on playing,en,10,"11,12",12
"i've given up worrying about men living alone
i do worry about the couple who live next door
some words heard through the screen door are enough",i've given up worrying about men living alone,i do worry about the couple who live next door,some words heard through the screen door are enough,en,14,13,10
"under the wind's muzzle
and the chant of mermaids
i become one with the eroded sand",under the wind's muzzle,and the chant of mermaids,i become one with the eroded sand,en,6,6,10
"your words shatter realities
your existence illuminates life
your meaning deepens the soul",your words shatter realities,your existence illuminates life,your meaning deepens the soul,en,8,9,7
"what portion in the world can the artist have
who has awakened from the common dream
but dissipation and despair",what portion in the world can the artist have,who has awakened from the common dream,but dissipation and despair,en,11,10,8
"so we lock and learn of human migrations of america before columbus and of siberian petroglyphs
we ponder the musings of percy walker and the art of john boatwright
we tune in to listen to strains from mozart and beethoven and we audit short courses about the italian renaissance and southern reconstruction",so we lock and learn of human migrations of america before columbus and of siberian petroglyphs,we ponder the musings of percy walker and the art of john boatwright,we tune in to listen to strains from mozart and beethoven and we audit short courses about the italian renaissance and southern reconstruction,en,30,18,38
"how robotic i have become
guided by the devils instinct
i am not me",how robotic i have become,guided by the devils instinct,i am not me,en,8,8,"4,5"
"if good heath wishes yet inspire us
hopefully your computer will
soon overcome its latest virus",if good heath wishes yet inspire us,hopefully your computer will,soon overcome its latest virus,en,"9,10",8,9
"round snow flakes
others large small or angled
together they make a snowman",round snow flakes,others large small or angled,together they make a snowman,en,3,7,8
"the sucking waves retard and tighter clinch
the weeds about him but the land-winds blow
and in the sky there blooms the sun of may",the sucking waves retard and tighter clinch,the weeds about him but the land-winds blow,and in the sky there blooms the sun of may,en,10,9,10
"i consult to the doctor
but still
no cure",i consult to the doctor,but still,no cure,en,7,2,2
"there is no sin but sloth
burn
to a wick and keep moving",there is no sin but sloth,burn,to a wick and keep moving,en,6,1,7
"turn your back to fear
her beauty dissolved
to a whisper",turn your back to fear,her beauty dissolved,to a whisper,en,5,5,4
"music ignites my soul with fire
when i'm in sorrow and in pain
it makes me fall in love again",music ignites my soul with fire,when i'm in sorrow and in pain,it makes me fall in love again,en,"8,9",8,8
"music is my life after all these years
through ups and downs
somehow i manage to survive in life",music is my life after all these years,through ups and downs,somehow i manage to survive in life,en,10,4,10
"though life is a rough road
music makes me dance and sing aloud
through hardships in life",though life is a rough road,music makes me dance and sing aloud,through hardships in life,en,6,9,5
"show me purity
i bow to clarity
but what is clear",show me purity,i bow to clarity,but what is clear,en,5,6,4
"keep going for we know not others with better honesty
living with cogitate morality you are content and at ease
you aspire for tranquil world hoping this chaos to cease",keep going for we know not others with better honesty,living with cogitate morality you are content and at ease,you aspire for tranquil world hoping this chaos to cease,en,15,17,14
"doing your devoted prophetic work to the good of humanity
your propitious thoughts will frame the system with prosperity
i hence wish this may your good tribes ever increase",doing your devoted prophetic work to the good of humanity,your propitious thoughts will frame the system with prosperity,i hence wish this may your good tribes ever increase,en,18,15,12
"in that place called tomorrow
even their distant seeds that dare
shall whisper those names in fear",in that place called tomorrow,even their distant seeds that dare,shall whisper those names in fear,en,7,8,7
"in that place call tomorrow
families shall gather together again
to eat breakfast and/or dinner",in that place call tomorrow,families shall gather together again,to eat breakfast and/or dinner,en,7,"10,11",7
"philip said if so i will good tribute pay
the bard compared me to a summer's day
told me work on lovely spenser's art",philip said if so i will good tribute pay,the bard compared me to a summer's day,told me work on lovely spenser's art,en,11,10,9
"one day i will
create a master piece
to the liking of one and all",one day i will,create a master piece,to the liking of one and all,en,4,6,8
"now is here
nothing there
before is gone it wasn't there",now is here,nothing there,before is gone it wasn't there,en,3,3,8
"there is no such thing as luck only inspiration
there is no such thing as success only will power
remember these lines and you'll build a nation",there is no such thing as luck only inspiration,there is no such thing as success only will power,remember these lines and you'll build a nation,en,13,13,11
"there is no such thing as happiness only realization
very few might believe what you say but say you must
there is no such thing as luck only inspiration",there is no such thing as happiness only realization,very few might believe what you say but say you must,there is no such thing as luck only inspiration,en,15,13,13
"people may doubt people may question but you must mention
there is no such thing as fate only good performance and bad performance
remember these lines and you'll build a nation",people may doubt people may question but you must mention,there is no such thing as fate only good performance and bad performance,remember these lines and you'll build a nation,en,14,18,11
"there is nothing that god cannot do
he is in everyone's heart and in each person's aspiration
there is no such thing as luck only inspiration",there is nothing that god cannot do,he is in everyone's heart and in each person's aspiration,there is no such thing as luck only inspiration,en,9,16,13
"there is no prayer that god hasn't fulfilled
so shed your doubts fears and inhibition
remember these lines and you'll build a nation",there is no prayer that god hasn't fulfilled,so shed your doubts fears and inhibition,remember these lines and you'll build a nation,en,"10,11",10,11
"for all its charms the island is uninhabited
and the faint footprints scattered on its beaches
turn without exception to the sea",for all its charms the island is uninhabited,and the faint footprints scattered on its beaches,turn without exception to the sea,en,13,11,9
"they fall
flutter
fall",they fall,flutter,fall,en,2,2,1
"so honest saint jerry
corrected the holy bible
and said the dog came back too",so honest saint jerry,corrected the holy bible,and said the dog came back too,en,6,8,7
"and brings my memory to your heart
when someday that rare blossom
you find",and brings my memory to your heart,when someday that rare blossom,you find,en,9,7,2
"i sit in the garden
on a small marble bench
beneath the sun",i sit in the garden,on a small marble bench,beneath the sun,en,6,6,4
"the water glows and makes music
as it falls down the stream
of little waterfalls",the water glows and makes music,as it falls down the stream,of little waterfalls,en,8,6,6
"i follow the stream
into a land of beauty
and wonder",i follow the stream,into a land of beauty,and wonder,en,5,7,3
"up and up the flames crawled high
up into the clear green sky
thus toppled the tower with a glorious cry",up and up the flames crawled high,up into the clear green sky,thus toppled the tower with a glorious cry,en,7,7,12
"and a captain announces safe passage
mark
twain",and a captain announces safe passage,mark,twain,en,10,1,1
"at least in that context
be the pure and fair
to prove",at least in that context,be the pure and fair,to prove,en,6,5,2
"he'll not beg
he'll just walk
he won't even talk",he'll not beg,he'll just walk,he won't even talk,en,3,3,5
"and friends in high places
have no use whatsoever
when they are not your friends",and friends in high places,have no use whatsoever,when they are not your friends,en,6,7,6
"i know a thing that's most uncommon
i know a reasonable woman
handsome and witty yet a friend",i know a thing that's most uncommon,i know a reasonable woman,handsome and witty yet a friend,en,9,"8,9",8
"the past
the present
and the future",the past,the present,and the future,en,2,3,4
