1	W AH N
JOURNEY'S	JH ER N IY Z
KIPPLE	K IH P AH L
KIRKSTONE	K AH R K S T OW N
KNACKIN	N AE K IH N
KOI	K OY
KUMQUATS	K AH M K W EY T S
LANTERNLESS	L AE N T ER N L AH S
LARACH	L AE R AH CH
LENGHTENING	L EH N T IY N AH NG
LENTEN	L EH N T AH N
LEPRONE	L EH P R OW N
LIGGIN	L IH JH AH N
LILYS	L IH L IY Z
LOWPIN	L OW P IH N
LUMS	L AH M Z
MAISIC	M EY Z IH K
MAITIN	M EY T AH N
MAWS	M AO Z
MAYFLOWERS	M EY F L AW ER Z
MCDO	M K D OW
MEDITATIN	M AH D IH T AH T AH N
MERKIT	M AH R K AH T
METEORITES	M IY T IY AH R AY T S
MEZCAL	M EH Z K AH L
MILLENIUM	M IH L IY N IY AH M
MISO	M AH S OW
MISTFALL	M IH S T F AO L
MIZZLE	M IH Z AH L
MOONLESS	M UW N L AH S
MOONLESSNESS	M UW N L AH S N AH S
MOONRISE	M UW N R AY Z
MOONSET	M UW N S EH T
MOWN	M OW N
MUEZZIN'S	M Y UW EH Z AH N Z
MUIN	M UW N
MURMURINGS	M ER M ER IH NG Z
MURTHER	M AH R DH AH R
NAPE	N EY P
NEBBIN	N EH B AH N
NECKLINE	N EH K L AY N
NICHT	N IH CH T
NIPPIE	N IH P IY
NOONDAY	N UW N D EY
NOVOCAIN	N AA V AH K EY N
OFFSHORING	AO F SH OW R IH NG
ONDING	AA N D AH NG
OOTBY	UW T B IY
ORTHOPAEDIC	AO R TH AH P IY D AH K
ORTHOPEDIST'S	AO R TH AH P IY D AH S TS
OWER	OW ER
OWL'S	AW L Z
PAINTBOX	P EY N T B AA K S
PAPAM	P AE P AH M
PARAUD	P AE R AH D
PARETE	P AH R IY T
PATHLESS	P AE TH L AH S
PAWPRINTS	P AO P R IH N T S
PERSEID	P AH R S AY D
PERSEIDS	P AH R S AY D Z
PERSIMMON	P ER S IH M AH N
PHEASIE	F IY S AY
PIGTAILED	P IH G T EY L D
PINECONES	P AY N K OW N Z
POMEGRANATES	P AH M EH G R AH N EY T S
POPLARS	P AA P L ER Z
POWLONIA	P OW L OW N Y AH
PRANAYAMA	P R AH N EY AH M AH
PUDDLED	P AH D AH L D
PUIL	P UW L
QUAT	K W AA T
RAINBURST	R EY N B ER S T
RAINFORST	R EY N F AH R S T
RAXIN	R AE K S AH N
REMEMBERANCE	R IH M EH M B ER AH N S
REOCCURRENCE	R IY AH K ER AH N S
RIN	R IH N
RIVULETS	R IH V Y AH L AH T S
ROADKILL	R OW D K IH L
ROON	R UW N
ROSEBUDS	R OW Z B AH D Z
ROSHI	R AA SH IY
SAMHAIN	S AE M HH EY N
SATIE	S AE T IY
SAWINS	S AO IH N Z
SCENTING	S EH N T IH NG
SCRIBBLINGS	S K R IH B AH L IH NG Z
SCUDDING	S K AH D IH NG
SEABREEZE	S IY B R IY Z
SEARCHER'S	S ER CH ER Z
SENIOR'S	S IY N Y ER Z
SESSHIN	S EH S AH N
SHOOGLIN	SH UW G L AH N
SHRILLING	SH R IH L IH NG
SILBURY	S IH L B Y AH R IY
SINGUL	S IH N G AH L
SIZZLES	S IH Z AH L Z
SKYS	S K AY Z
SLEETY	S L IY T IY
SMUDGES	S M AH JH IH Z
SNAGGIT	S N AE JH AH T
SNOWMELT	S N OW M EH L T
SNOWPACK	S N OW P AE K
SOUCH	S AW CH
SOURDOUGH	S AW ER D OW
SOUTHEND	S AW TH EH N D
SPLATTING	S P L AE T AH NG
STARLESS	S T AA R L AH S
STEEPING	S T IY P IH NG
STREETLIGHT	S T R IY T L AY T
STUBBLED	S T AH B AH L D
SUDDENT	S AH D AH N T
SULLA	S AH L AH
SULPHURIC	S AH L F ER IH K
SUNLESS	S AH N L AH S
TAILGATING	T EY L G EY T IH NG
TARN	T AA R N
TEAHOUSE	T IY HH AW S
TENTIE	T EH N T IY
TERRASSENG‰RTEN	T EH R AE S EH N G R T AH N
THAYR	TH EY R
THIGGER	TH IH G AH R
THROUCH	TH R AW CH
THUNDERHEADS	TH AH N D ER HH EH D Z
TONIGHTS	T AH N AY T S
TRAFIC	T R AE F AH K
TRAINYARD	T R EY N Y AA R D
TRINITARIAN	T R IH N AH T EH R IY AH N
TROKE	T R OW K
TROOT	T R UW T
TUIM	T UW M
TWENTYFOURSEVEN	T W EH N T IY F OW R S EH V AH N
TYPOS	T IH P AH Z
UNAIMED	AH N EY M D
UNCOS	AH N K AA Z
UNDRESSING	AH N D R EH S IH NG
UNDULATION	AH N JH AH L EY SH AH N
UNHOOKING	AH N HH UH K IH NG
UNKNOTTING	AH N AA T IH NG
UNMOWN	AH N M OW N
UNPICKED	AH N P IH K T
UNRIPE	AH N R AY P
UNTRODDEN	AH N T R AA D AH N
UNTWISTING	AH N T W IH S T IH NG
VERANDAH	V AH R AE N D AH
VISAKHA	V AH S AE K AH
VOAR	V OW AH R
WASHDAY	W AA SH D EY
WEEDOWER	W IY D AW ER
WEET	W IY T
WI	W IY
WIDESCREEN	W AY D S K R IY N
WIFIE	W AY F IY
WINDLESS	W IH N D L AH S
WINNOCK	W IH N AH K
WINTERSCAPE	W IH N T ER S K EY P
WISTERIA	W IH S T IY R IY AH
WOODFIRE	W UH D F AY ER
WOODSMOKE	W UH D S M OW K
XMAS	Z M AE Z
YELLOWED	Y EH L OW D
ZAZEN	Z EY Z AH N
AAH	AA
ABANDONNED	AH B AE N D AH N D
ADVENTS	AE D V EH N T S
AFF	AE F
AIK	EY K
ALANG	AE L AH NG
ALEPPO	AH L EH P OW
ALJAZEERA	AE L JH EY Z AH R AH
ALORS	EY L ER Z
AMANG	AE M AH NG
AMISSIN	AH M IH S IH N
ANEATH	EY N IY TH
ANITHER	AE N AH DH AH R
APPARTMENT	AE P AA R T M AH N T
APRËS	AE P R Z
ASIATIQUE	EY S IY AH T AH K
ASPIRINE	AE S AH R AY N
ATHORT	AE TH AH R T
ATTENDRE	AE T EH N D AH R
ATTERCAP'S	AE T AH R K AH P S
ATWEEN	AE T W IY AH N
AULDER	AO L D AH R
AUSSI	AO S IY
AUTRE	AO T AH R
AWAKES	AH W EY K S
BACKROAD	B AE K R OW D
BAIRNS	B AE AH R N Z
BALCONY'S	B AE L K AH N IY Z
BARBERSHOPS	B AA R B ER SH AA P S
BARMAID	B AA R M EY D
BARRISTA	B AE R IH S T AH
BATTEMENT	B AE T M AH N T
BAUNK	B AO NG K
BEETLE'S	B IY T AH L Z
BIDES	B AY D Z
BIGBANGS	B IH G B AE NG Z
BIGGIN	B IH G JH IH N
BIN'S	B IH N Z
BIRCHES	B ER CH IH Z
BIRDBATH	B ER D B AE TH
BIRTHDATE	B ER TH D EY T
BISECTED	B AY S EH K T IH D
BITTERNUT	B IH T ER N AH T
BLACKBIRD'S	B L AE K B ER D Z
BLACKTHORN	B L AE K TH AO R N
BLAE	B L IY
BLEATING	B L IY T IH NG
BLECKIE	B L EH K AY
BLINTER	B L IH N T AH R
BLUEBIRD'S	B L UW B ER D Z
BODACH	B AA D AH CH
BOGGY	B AO G IY
BOMBSQUAD	B AA M S K W AA D
BRAYING	B R EY IH NG
BREASTCANCER	B R EH S T K AE N S ER
BREERS	B R IH R Z
BROOZILT	B R UW Z AH L T
BRUME	B R UW M
BRUSTIN	B R AH S T AH N
BUDDAH'S	B AH D AH Z
BUDDHAS	B AH D HH AH Z
BUDDLEIA	B AH D L IY AH
BULBUL'S	B UH L B Y AH L Z
BUMMERS	B AH M ER Z
BUOY'S	B UW IY Z
BUS'S	B AH S IX Z
BUTTERIES	B AH T AH R IY Z
CACHER	K AE SH ER
CALMÈ	K AA M
CAMELLIAS	K AH M IY L Y AH Z
CAMION	K AE M IY AH N
CANDLE'S	K AE N D AH L Z
CARAPACE	K AA R AH P EY S
CARBUNCLES	K AA R B AH NG K AH L Z
CARP'S	K AA R P S
CASHPOINT	K AE SH P OY N T
CENOTAPH	S EH N AH T AH F
CEO'S	S IY IY OW Z
CEREUS	S IH R IY AH S
CHALEUR	CH EY L AH R
CHALKBOARD	CH AO K B OW R D
CHANGEFUL	CH EY N JH F AH L
CHEEN	CH IY AH N
CHERR	CH EH R
CHEVEUX	CH IY V IY AH K S
CHICKADEE	CH IH K EY D IY
CHICKADEES	CH IH K EY D IY Z
CHICKPEA	CH IH K P IY
CHIEL	CH IY L
CHIENS	CH IY N Z
CHOPIN'S	SH OW P AE N Z
CHUCHOTANT	CH AH CH AH T AH N T
CLAUCHT	K L AO CH T
CLINTS	K L IH N T S
CLOUD'S	K L AW D Z
COCKERELS	K AA K EH R AH L Z
COCKSCOMB	K AA K S K OW M
COFFEECUP	K AO F IY K AH P
COFFINMAKER	K AO F AH N M EY K ER
COMBINERS	K AH M B AY N ER Z
COMPTANT	K AA M P T AH N T
CONTRAIL	K AH N T R EY L
CONTRAILS	K AH N T R EY L Z
COPPERTONE	K AA P ER T OW N
CORDITE	K AA R D AY T
COUK	K OW AH K
CRADLESONG	K R EY D AH L S AO NG
CRAWS	K R AO Z
CRAYONED	K R EY AA N D
CREAKS	K R IY K S
CRISIUM	K R IH S IY AH M
CROTTLES	K R AA T AH L Z
CRUCIFORM	K R UW S AH F AH R M
CRUIVED	K R UW W AH V D
CYPRESSES	S AY P R AH S IH Z
D'APRËS	D AE P R Z
D'UN	D AH N
DAFFINS	D AE F AH N Z
DAFFODILLS	D AE F AH D AH L Z
DAHLIAS	D AE L IY AH Z
DAITH	D EY TH
DAMSELFLY	D AE M Z AH L F L AY
DAMSONS	D AE M S AH N Z
DAPPLES	D AE P AH L Z
DEEIN	D IY IY N
DEFLATES	D IH F L EY T S
DEGRÈS	D EH G R Z
DEWDROPS	D UW D R AA P S
DIMANCHE	D IH M AH NG K
DIMP	D IH M P
DISPERSES	D IH S P ER S IH Z
DISSONATE	D IH S AH N AH T
DISUSED	D IH S Y UW S T
DOIVENT	D OW IH V AH N T
DONKEY'S	D AA NG K IY Z
DOUCENESS	D UW S N AH S
DOVE'S	D AH V Z
DOVERIN	D AH V ER IH N
DRAPT	D R AE P T
DUGS	D AH G Z
DUSK'S	D AH S K S
DUSTPAN	D AH S T P AE N
DUVET	D Y UW V AH T
DÈCOLLETAGE	D K AA L AH T AH JH
DÈCOLLETÈ	D K AA L AH T
EARING	IH ER IH NG
EENIN'S	IY N AH N Z
EFFACED	IH F EY S T
EGRET'S	EH G R AH TS
ELK'S	EH L K S
EMBAUMÈ	IH M B AO M
EMOJI	AH M AA JH IY
ENFIN	EH N F IH N
ERASBLE	EH R AH Z AH L
EX'S	EH K S IX Z
EXTUINGUISHED	IH K S T UW N G W AH SH T
FAIMLIE	F EY M L AY
FARENHEIT	F AE R AH N HH IY T
FARTS	F AA R T S
FAWIN	F AO AH N
FEUILLES	F Y UW AH L Z
FISHNET	F IH SH N EH T
FLAILS	F L EY L Z
FLASHMOB	F L AE SH M AA B
FLUFFING	F L AH F IH NG
FLURIES	F L UW R IY Z
FLUTIST'S	F L UW T IH S TS
FOGGING	F AA G IH NG
FOGHORNS	F AA G HH AO R N Z
FORFOCHEN	F AO R F AH CH AH N
FORRIT	F AO R AH T
FOUIN'S	F AW AH N Z
FREENLY	F R IY N L IY
FREESIA'S	F R IY S IY AH Z
FREESIAS	F R IY S IY AH Z
FRIDGIDAIRE	F R IH JH IH D AH AH R
FRISB	F R IH Z
FUITPRENT	F UW T R AH N T
FULNESS	F UH L N AH S
FUSH	F AH SH
FUSHER	F AH SH AH R
FUSKY	F AH S IY
FUSPERS	F AH S AH R Z
GAITHERIN	G EY TH ER IH N
GEEZERS	JH IY Z AH R Z
GENTIANS	JH EH N CH AH N Z
GERFALCON'S	JH AH R F AE L K AH N Z
GLAUR	G L AO R
GLISTENS	G L IH S AH N Z
GLOWWORM	G L OW W ER M
GNOME'S	N OW M Z
GOLDENRODS	G OW L D AH N R AA D Z
GORSE	G AO R S
GRAMOPHONE	G R AE M AH F OW N
GRANBAIRN	G R AE N B AH AH R N
GRANDCHILD'S	G R AE N D CH AY L D Z
GREENGROCER	G R IY N G R OW S ER
GRIS	G R IH Z
GROOM'S	G R UW M Z
GUNPORT	G AH N P OW R T
HAIGA	HH EY G AH
HAIJIN	HH EY JH AH N
HAIJIN'S	HH EY JH AH N Z
HALAL	HH EY L AH L
HARNS	HH AA R N Z
HASHTAGS	HH AE SH T AE G Z
HATCHLINGS	HH AE CH L IH NG Z
HAUDS	HH AO D Z
HAUFLIN	HH AO F L AH N
HD	EY CH D
HEALINGS	HH IY L IH NG Z
HEELD	HH IY L D
HEICH	HH IY CH
HEIZES	HH IY AY Z AH Z
HEREYES	HH IY R EY Z
HEROINS	HH EH R AH W AH N Z
HERRCUTS	HH EH R K Y UW T S
HIJAB	HH IH JH AH B
HOARFROSTED	HH OW ER F R AO S T IH D
HOMEBREW	HH OW M B R UW
HOUSEWIFE'S	HH AW S W AY F S
HUNGERT	HH AH N JH AH R T
HUNGERT'S	HH AH N JH AH R T S
ICIER	AY S IY ER
ICYCLES	IH S AH K AH L Z
INCAA	IH N K AA
INCHWORM	IH N CH W ER M
INDECISIONS	IH N D IH S IH ZH AH N Z
INFUSÈ	IH N F AH S
INTERUPTED	IH N T ER AH P T EH D
IORA	AY AH R AH
IRIDESCE	IH R AH D EH S
IRIDISCENT	AY ER AH D IY Z S EH N T
ITHER	IH DH AH R
J'AJUSTE	JH AE JH AH S T
JACARANDA	JH AE K AH R AE N D AH
JOGGER'S	JH AA G ER Z
JYLE	JH AY L
KEEKIN	K IY K AH N
KINFOLK	K IH N F OW K
KITE'S	K AY TS
KNEELS	N IY L Z
KNIFE'S	N AY F S
KOAN	K OW AH N
L'ASPHALTE	L AE S AH L T
L'IMAGE	L IH M AH JH
L'OMBRA	L AA M B R AH
L'ÈCHOGRAPHIE	L CH AA G R AH F AY
LAMPLIGHT	L AE M P L AY T
LAMPSHADE	L AE M P SH EY D
LAQUELLE	L AE K W AH L
LARMES	L AA R M Z
LAUP	L AO P
LEAF'S	L IY F S
LETTERBOX	L EH T ER B AA K S
LEURS	L IY Y AH R Z
LICHENED	L AH CH IY N D
LICHTENIN	L IH CH T AH N AH N
LIGHTNING'S	L AY T N IH NG Z
LIGUSTRUM	L AH G AH S T R AH M
LIK	L IH K
LILLIES	L IH L AY Z
LIMACE	L IH M AH S
LOODER	L UW D AH R
LOON'S	L UW N Z
LOVESONG	L AH V S AO NG
LOZEN	L OW Z AH N
LUVE	L UW V
LUVERS	L UW V AH R Z
MAGICIAN'S	M AH JH IH SH AH N Z
MAGPIE'S	M AE G P AY Z
MAHJONG	M AE JH AH NG
MAILMAN'S	M EY L M AE N Z
MAIRCHS	M AE AH R CH S
MAITIT	M EY T AH T
MANGROVES	M AE N G R OW V Z
MANTELPIECE	M AE N T AH L P IY S
MAPLE'S	M EY P AH L Z
MARIAGE	M EH R IY IH JH
MATIN	M AE T AH N
MAÓTRES	M EY T AH R Z
MEDS	M IY D Z
MELANCHOLIA	M EH L AH NG K OW L Y AH
MEMORIAL'S	M AH M AO R IY AH L Z
MEMORIAM	M AH M AO R IY AH M
METRONOME	M EH T R AH N OW M
MICROSOFTIES	M AY K R OW S AO F T IY Z
MIDNIGHT'S	M IH D N AY TS
MIGRANT'S	M AY G R AH N TS
MIGRATORS	M AY G R AH T ER Z
MINTY	M IH N T IY
MISTED	M IH S T EH D
MOOTHIE	M UW TH IY
MOSQUITO'S	M AH S K IY T OW Z
MOTH'S	M AO TH S
MOUTEN	M OW Y UW T AH N
MUIN'S	M UW N Z
MUINLICHT	M UW N L AH CH T
MUIVE	M Y UW AH V
MUSIQUE	M Y UW S AH K
MYNAH	M IH N AH
MYNDIN	M IH N D AH N
NAE	N IY
NAPPY	N AE P IY
NASTURTIUM	N AE S T AH R T IY AH M
NEIST	N IY AH S T
NETTOYE	N EH T OY
NIGHTGOWN	N AY T G AW N
NIGHTLIGHT	N AY T L AY T
NOCTURNE	N AA K T ER N
NUDISTS	N UW D IH S T S
OCTOBRE	AA K T AH B AH R
ODEUR	OW D AH R
OMMMMM	AA M
ON'R	AA N R
ON'S	AA N Z
OOR	OW AH R
OOT	UW T
OOTLINE	UW T L AY N
PACIFC	P AE S AH F
PALMYRA	P AE L M AH R AH
PANGAEA	P AE N G IY AH
PARLENT	P AA R L EH N T
PARMI	P AA R M IY
PATTERING	P AE T ER IH NG
PAULM	P AO L M
PAVÈ	P AE V
PEARLED	P ER L D
PEERIE	P IH ER IY
PEKOE	P EH K OW
PERFIT	P ER F IH T
PHOTY	F OW T IY
PHOTYS	F AA T AH Z
PIERCES	P IH ER S IH Z
PIKELETS	P AY K L AH T S
PIKIT	P IH K AH T
PINE'S	P AY N Z
PIPISTRELLE'S	P IH P AH S T R EH L AH Z
PISH	P IH SH
PISLE	P AY Z AH L
PLAINSTANES	P L EY N S T EY N Z
PLOOM	P L UW M
PLUIE	P L UW
PLUMERIA	P L UW M IY R IY AH
POLISHES	P AA L IH SH IH Z
PONY'S	P OW N IY Z
POSSOM	P AA S AH M
PREENS	P R IY N Z
PRENDRE	P R IY N D AH R
PUB'S	P AH B Z
PULPMILL	P AH L P M IH L
PUMKINS	P AH M K AH N Z
PUMPKIN'S	P AH M P K IH N Z
PURSING	P ER S IH NG
PYNED	P AY N D
QUEENSBOROUGH	K W IY N Z B ER OW
QUINIE	K W IH N AY
RAIN'S	R EY N Z
RAINLESS	R EY N L AH S
RAIRS	R AE AH R Z
RANTS	R AE N T S
RAVEN'S	R EY V AH N Z
REARRANGES	R IY AH R EY N JH IH Z
RECEPTIONIST'S	R IH S EH P SH AH N IH S TS
RECESSIONALS	R IY S EH SH AH N AH L Z
RECUMBENT	R IH K AH M B AH N T
REDWING'S	R EH D W IH NG Z
REEK'S	R IY K S
REEKIN	R IY K IH N
REELIN	R IY L IH N
REENG	R IY EH NG
REENG'M	R IY EH N G M
REGARDANT	R IH G AA R D AH N T
RELIGHTING	R IY L AY T IH NG
REREADS	R IY R IY D Z
RESETTING	R IY S EH T IH NG
RESOUNDS	R IY S AW N D Z
REVISTS	R EH V IH S T S
RHODODENDRONS	R OW D AH D EH N D R AH N Z
RICOCHETS	R IH K AH SH EY Z
RINGTONES	R IH NG T OW N Z
ROADKILL'S	R OW D K IH L Z
ROOFTILES	R UW F T AY L Z
ROOND	R UW N D
ROSÈ	R AA Z
ROUGING	R UW ZH IH NG
ROUSES	R AW Z IH Z
RUINAGE	R UW AH N IH JH
RUSTLES	R AH S AH L Z
RYOKAN	R AY AH K AH N
SAIJIKI	S EY JH AH K IY
SANDPIPER	S AE N D P AY P ER
SAREE	S AH R IY IY
SAWN	S AO N
SCATTERS	S K AE T ER Z
SCHUIL	S K UW L
SCLIMIN	S K L IH M AH N
SCREENSAVER	S K R IY N S EY V ER
SCRIEVIT	S K R IY V AH T
SCRIPS	S K R IH P S
SCRUBS	S K R AH B Z
SCRUIF	S K R UW F
SCURRIES	S K ER IY Z
SCYCLE	S IH K AH L
SEAPLANE	S IY P L EY N
SEEIN	S IY IH N
SEGUES	S EH G Z
SENDAI	S EH N D EY
SES	S
SFUMATO	S F Y UW M AH T OW
SHALLOWS	SH AE L OW Z
SHEDDAE	SH EH D IY
SHEDDAED	SH EH D EY D
SHEDDAES	SH EH D EY Z
SHEEPDOG	SH IY P D AO G
SHEPERDS	SH EH P AH R D Z
SHIKI	SH IH K IY
SHINNING	SH IH N IH NG
SHOREBIRD'S	SH AO R B ER D Z
SHOUTHERS	SH AW TH AH R Z
SICHT'S	S IH CH T S
SILLAGE	S IH L IH JH
SIN'S	S IH N Z
SKATEBOARDS	S K EY T B OW R D Z
SKIER'S	S K AY R Z
SKIRLIN	S K AH R L AH N
SKIRLS	S K AH R L Z
SKITES	S K AY T S
SKYLARK'S	S K AY L AA R K S
SLAMMIN	S L AE M AH N
SMOULDERING	S M OW L D IY R AH NG
SNAW	S N AO
SNAWDRAPS	S N AO D R AH P S
SNIFFENT	S N IH F AH N T
SNOWDRIFT	S N OW D R IH F T
SNOWDROPS	S N OW D R AA P S
SNOWK	S N OW K
SNOWMEN	S N OW M EH N
SNUVES	S N Y UW V Z
SOLDERS	S AA D ER Z
SOLENT	S OW L AH N T
SOOKIN	S UH K AH N
SOOND	S UW N D
SOUNDLESS	S AW N D L AH S
SPANIEL'S	S P AE N Y AH L Z
SPARROW'S	S P EH R OW Z
SPIDER'S	S P AY D ER Z
SPIDERWEB	S P AY D ER W EH B
SPINNAKERS	S P IH N AH K AH R Z
SPINNED	S P IH N D
SPLIFF	S P L IH F
SPLUTTERS	S P L AH T AH R Z
SQUEEGEES	S K W IY JH IY Z
SQUERRS'S	S K W EH R Z AH Z
STALLION'S	S T AE L Y AH N Z
STAME	S T EY M
STARLING'S	S T AA R L IH NG Z
STATUE'S	S T AE CH UW Z
STERNY	S T ER N IY
STILLAMONG	S T IH L AH M AH NG
STOBBIE	S T AA B AY
STREEKIT	S T R IY K AH T
STREENG'N	S T R IY N G N
STREETLAMPS	S T R IY T L AE M P S
STREETLIGHTS	S T R IY T L AY T S
STRIPLIGHTS	S T R IH P L AY T S
STRISCIA	S T R IH SH IY AH
SUBPRIME	S AH B P R AY M
SUMYIN'S	S AH M IY IH N Z
SUNBATHES	S AH N B EY DH Z
SUNDOGS	S AH N D AO G Z
SUNRAY	S AH N R EY
SWALE	S W EY L
SWALLOW'S	S W AA L OW Z
SWAN'S	S W AA N Z
SWANSONGS	S W AA N S AO NG Z
SWATS	S W AA T S
SYCAMORES	S IH K AH M AH R Z
SYNE	S AY N
TACHOGRAPH	T AH CH AA G R AH F
TAEN	T EY AH N
TAK'M	T AE K M
TAKKIN	T AE K AH N
TAMARIND	T AE M AH R AY N D
TANNINS	T AE N AH N Z
TASSIE	T AE S AY
TATOO	T AE T UW
TEABAG	T IY B AE G
TEAKETTLE	T IY K EH T AH L
TEDDIES	T EH D IY Z
TEEGER	T IY JH AH R
TEINTES	T IY N T S
THAIM	TH EY M
THAIR	TH AE AH R
THINGUMS	TH IH N G AH M Z
THRABS	TH R AE B Z
THRANG	TH R AE NG
THRAWINS	TH R AO AH N Z
THRISSELS	TH R IH S AH L Z
THUDS	TH AH D Z
THUNDERCLAPS	TH AH N D ER K L AE P S
THUNDERCLOUDS	TH AH N D ER K L AW D Z
THUNDERHEAD	TH AH N D ER HH EH D
THÈ	T IY EY CH
TILL'S	T IH L Z
TIRLIES	T AH R L AY Z
TOHOKU	T AA HH AH K UW
TOKYOITES	T AA K AY OY T S
TOMBENT	T UW M AH N T
TONNERRE	T AA N AH R
TRACERY	T R EY S AH R IY
TRACKLESS	T R AE K L AH S
TRAMWAYS	T R AE M W EY Z
TRAVAILLANT	T R AH V EY L AH N T
TREE'S	T R IY Z
TREEHOUSE	T R IY HH AW S
TRILLS	T R IH L Z
TUIN	T UW N
TUITH	T UW TH
TWA	T W AA
TWINES	T W AY N Z
UDDER	AH D AH R
ULTRAMARINE	AH L T R AH M AH R IY N
UNBLINKING	AH N B L IH NG K IH NG
UNCARVED	AH N K AA R V D
UNCELEBRATED	AH N S EH L AH B R EY T IH D
UNCLIMBED	AH N K L AY M D
UNCOMBED	AH N K AH M B EH D
UNDERTHINGS	AH N D ER TH IH NG Z
UNDRUNK	AH N D R AH NG K
UNE	AH N
UNEATEN	AH N IY T AH N
UNFASHIONABLY	AH N F AE SH AH N AH B L IY
UNKNOT	AH N AA T
